x/D,u'^2/U^2,v'^2/U^2
-2,2.55430000E-004,2.533900000E-004
-1.992,2.59030000E-004,2.581900000E-004
-1.984,2.62980000E-004,2.631700000E-004
-1.976,2.66900000E-004,2.680800000E-004
-1.968,2.70820000E-004,2.731200000E-004
-1.96,2.74840000E-004,2.783300000E-004
-1.952,2.78920000E-004,2.836500000E-004
-1.944,2.83040000E-004,2.890300000E-004
-1.936,2.87240000E-004,2.945200000E-004
-1.928,2.91510000E-004,3.001500000E-004
-1.92,2.95850000E-004,3.059000000E-004
-1.912,3.00260000E-004,3.117600000E-004
-1.904,3.04730000E-004,3.177000000E-004
-1.896,3.09300000E-004,3.238100000E-004
-1.888,3.13930000E-004,3.300500000E-004
-1.88,3.18660000E-004,3.364200000E-004
-1.872,3.23450000E-004,3.429000000E-004
-1.864,3.28320000E-004,3.495300000E-004
-1.856,3.33310000E-004,3.563400000E-004
-1.848,3.38350000E-004,3.632700000E-004
-1.84,3.43440000E-004,3.703100000E-004
-1.832,3.48620000E-004,3.775000000E-004
-1.824,3.53920000E-004,3.848800000E-004
-1.816,3.59330000E-004,3.924200000E-004
-1.808,3.64790000E-004,4.001200000E-004
-1.8,3.70320000E-004,4.079700000E-004
-1.792,3.75960000E-004,4.159800000E-004
-1.784,3.81690000E-004,4.241800000E-004
-1.776,3.87510000E-004,4.325200000E-004
-1.768,3.93400000E-004,4.410100000E-004
-1.76,3.99380000E-004,4.497400000E-004
-1.752,4.05510000E-004,4.586900000E-004
-1.744,4.11800000E-004,4.678400000E-004
-1.736,4.18130000E-004,4.771400000E-004
-1.728,4.24540000E-004,4.866000000E-004
-1.72,4.31090000E-004,4.962900000E-004
-1.712,4.37710000E-004,5.062100000E-004
-1.704,4.44440000E-004,5.163200000E-004
-1.696,4.51360000E-004,5.267000000E-004
-1.688,4.58360000E-004,5.372900000E-004
-1.68,4.64920000E-004,5.479500000E-004
-1.672,4.71560000E-004,5.588700000E-004
-1.664,4.79980000E-004,5.703600000E-004
-1.656,4.87410000E-004,5.818700000E-004
-1.648,4.95050000E-004,5.937200000E-004
-1.64,5.02790000E-004,6.058200000E-004
-1.632,5.10560000E-004,6.181000000E-004
-1.624,5.18510000E-004,6.306900000E-004
-1.616,5.26650000E-004,6.435700000E-004
-1.608,5.34910000E-004,6.567400000E-004
-1.6,5.43240000E-004,6.702000000E-004
-1.592,5.51720000E-004,6.839400000E-004
-1.584,5.60350000E-004,6.979700000E-004
-1.576,5.69170000E-004,7.123500000E-004
-1.568,5.78130000E-004,7.271000000E-004
-1.56,5.87170000E-004,7.421300000E-004
-1.552,5.96320000E-004,7.574600000E-004
-1.544,6.05700000E-004,7.732000000E-004
-1.536,6.15200000E-004,7.892400000E-004
-1.528,6.24860000E-004,8.056300000E-004
-1.52,6.34870000E-004,8.225200000E-004
-1.512,6.44060000E-004,8.395700000E-004
-1.504,6.55140000E-004,8.573400000E-004
-1.496,6.65420000E-004,8.752900000E-004
-1.488,6.75860000E-004,8.935900000E-004
-1.48,6.86440000E-004,9.123500000E-004
-1.472,6.97250000E-004,9.315800000E-004
-1.464,7.08350000E-004,9.513300000E-004
-1.456,7.19580000E-004,9.715500000E-004
-1.448,7.30920000E-004,9.921500000E-004
-1.44,7.42480000E-004,1.013200000E-003
-1.432,7.54210000E-004,1.034800000E-003
-1.424,7.66260000E-004,1.056900000E-003
-1.416,7.78300000E-004,1.079500000E-003
-1.408,7.90760000E-004,1.102700000E-003
-1.4,8.03510000E-004,1.126400000E-003
-1.392,8.16390000E-004,1.150800000E-003
-1.384,8.29350000E-004,1.175600000E-003
-1.376,8.42560000E-004,1.201000000E-003
-1.368,8.55840000E-004,1.227000000E-003
-1.36,8.69220000E-004,1.253600000E-003
-1.352,8.82790000E-004,1.280800000E-003
-1.344,8.96730000E-004,1.308600000E-003
-1.336,9.11060000E-004,1.337200000E-003
-1.328,9.25510000E-004,1.366500000E-003
-1.32,9.40280000E-004,1.396600000E-003
-1.312,9.55150000E-004,1.427400000E-003
-1.304,9.70300000E-004,1.458800000E-003
-1.296,9.85780000E-004,1.490900000E-003
-1.288,1.00140000E-003,1.523800000E-003
-1.28,1.01740000E-003,1.557700000E-003
-1.272,1.03370000E-003,1.592300000E-003
-1.264,1.05010000E-003,1.627800000E-003
-1.256,1.06650000E-003,1.664100000E-003
-1.248,1.08310000E-003,1.701300000E-003
-1.24,1.10040000E-003,1.739900000E-003
-1.232,1.11780000E-003,1.779200000E-003
-1.224,1.13570000E-003,1.819400000E-003
-1.216,1.15410000E-003,1.861000000E-003
-1.208,1.17290000E-003,1.903600000E-003
-1.2,1.19190000E-003,1.947500000E-003
-1.192,1.21090000E-003,1.992000000E-003
-1.184,1.23000000E-003,2.037600000E-003
-1.176,1.24910000E-003,2.084100000E-003
-1.168,1.26870000E-003,2.132100000E-003
-1.16,1.28920000E-003,2.181500000E-003
-1.152,1.31010000E-003,2.232500000E-003
-1.144,1.33100000E-003,2.285000000E-003
-1.136,1.35210000E-003,2.338800000E-003
-1.128,1.37340000E-003,2.393500000E-003
-1.12,1.39530000E-003,2.449800000E-003
-1.112,1.41780000E-003,2.507800000E-003
-1.104,1.44060000E-003,2.567200000E-003
-1.096,1.46360000E-003,2.628100000E-003
-1.088,1.48620000E-003,2.689700000E-003
-1.08,1.50890000E-003,2.752400000E-003
-1.072,1.53280000E-003,2.817400000E-003
-1.064,1.55690000E-003,2.883300000E-003
-1.056,1.58150000E-003,2.952900000E-003
-1.048,1.60860000E-003,3.025900000E-003
-1.04,1.63550000E-003,3.101800000E-003
-1.032,1.66320000E-003,3.179200000E-003
-1.024,1.69130000E-003,3.259700000E-003
-1.016,1.72030000E-003,3.343100000E-003
-1.008,1.75000000E-003,3.429100000E-003
-1,1.77920000E-003,3.516100000E-003
-0.992,1.81130000E-003,3.609300000E-003
-0.984,1.84320000E-003,3.704400000E-003
-0.976,1.87460000E-003,3.802600000E-003
-0.968,1.90690000E-003,3.904400000E-003
-0.96,1.94140000E-003,4.003700000E-003
-0.952,1.97740000E-003,4.104500000E-003
-0.944,2.01470000E-003,4.211300000E-003
-0.936,2.05250000E-003,4.324900000E-003
-0.928,2.09170000E-003,4.443400000E-003
-0.92,2.13240000E-003,4.565900000E-003
-0.912,2.16670000E-003,4.692900000E-003
-0.904,2.21910000E-003,4.825600000E-003
-0.896,2.27000000E-003,4.962500000E-003
-0.888,2.32770000E-003,5.105300000E-003
-0.88,2.38640000E-003,5.257900000E-003
-0.872,2.45180000E-003,5.417800000E-003
-0.864,2.52270000E-003,5.585900000E-003
-0.856,2.59590000E-003,5.762800000E-003
-0.848,2.67890000E-003,5.952800000E-003
-0.84,2.77490000E-003,6.157800000E-003
-0.832,2.88510000E-003,6.386800000E-003
-0.824,3.00510000E-003,6.623500000E-003
-0.816,3.13190000E-003,6.877800000E-003
-0.808,3.27540000E-003,7.137600000E-003
-0.8,3.46730000E-003,7.431300000E-003
-0.792,3.68660000E-003,7.762500000E-003
-0.784,3.92440000E-003,8.115900000E-003
-0.776,4.19810000E-003,8.502600000E-003
-0.768,4.52960000E-003,8.926700000E-003
-0.76,4.87220000E-003,9.387100000E-003
-0.752,5.40960000E-003,9.899000000E-003
-0.744,6.13220000E-003,1.043300000E-002
-0.736,6.98940000E-003,1.102000000E-002
-0.728,8.20010000E-003,1.168100000E-002
-0.72,9.85010000E-003,1.237600000E-002
-0.712,1.24690000E-002,1.314200000E-002
-0.704,1.53850000E-002,1.398200000E-002
-0.696,1.93550000E-002,1.491300000E-002
-0.688,2.54740000E-002,1.592400000E-002
-0.68,3.37510000E-002,1.702800000E-002
-0.672,4.40960000E-002,1.822000000E-002
-0.664,5.66950000E-002,1.949500000E-002
-0.656,7.27840000E-002,2.092000000E-002
-0.648,9.17500000E-002,2.250600000E-002
-0.64,1.12940000E-001,2.426500000E-002
-0.632,1.35380000E-001,2.608300000E-002
-0.624,1.57920000E-001,2.807300000E-002
-0.616,1.77760000E-001,3.015000000E-002
-0.608,1.96090000E-001,3.223200000E-002
-0.6,2.09150000E-001,3.437300000E-002
-0.592,2.16150000E-001,3.643400000E-002
-0.584,2.17700000E-001,3.840800000E-002
-0.576,2.14600000E-001,4.019000000E-002
-0.568,2.08820000E-001,4.191300000E-002
-0.56,1.98550000E-001,4.330100000E-002
-0.552,1.87340000E-001,4.458300000E-002
-0.544,1.76130000E-001,4.573900000E-002
-0.536,1.64910000E-001,4.677600000E-002
-0.528,1.53990000E-001,4.764200000E-002
-0.52,1.43950000E-001,4.843000000E-002
-0.512,1.34980000E-001,4.923300000E-002
-0.504,1.27030000E-001,5.005600000E-002
-0.496,1.20320000E-001,5.079100000E-002
-0.488,1.15170000E-001,5.164500000E-002
-0.48,1.10970000E-001,5.230600000E-002
-0.472,1.07750000E-001,5.300300000E-002
-0.464,1.04960000E-001,5.366800000E-002
-0.456,1.03230000E-001,5.472200000E-002
-0.448,1.02170000E-001,5.556500000E-002
-0.44,1.01820000E-001,5.641700000E-002
-0.432,1.02120000E-001,5.733200000E-002
-0.424,1.02580000E-001,5.838700000E-002
-0.416,1.03080000E-001,5.956200000E-002
-0.408,1.03900000E-001,6.077000000E-002
-0.4,1.04650000E-001,6.182500000E-002
-0.392,1.05500000E-001,6.271200000E-002
-0.384,1.06210000E-001,6.398300000E-002
-0.376,1.07200000E-001,6.497200000E-002
-0.368,1.08280000E-001,6.624500000E-002
-0.36,1.09380000E-001,6.728500000E-002
-0.352,1.09990000E-001,6.817000000E-002
-0.344,1.10220000E-001,6.924000000E-002
-0.336,1.11160000E-001,7.025000000E-002
-0.328,1.11630000E-001,7.129300000E-002
-0.32,1.11860000E-001,7.265400000E-002
-0.312,1.12020000E-001,7.372100000E-002
-0.304,1.12050000E-001,7.492400000E-002
-0.296,1.11900000E-001,7.623200000E-002
-0.288,1.11870000E-001,7.759300000E-002
-0.28,1.11610000E-001,7.908400000E-002
-0.272,1.11180000E-001,8.039500000E-002
-0.264,1.10830000E-001,8.169800000E-002
-0.256,1.10060000E-001,8.301200000E-002
-0.248,1.09630000E-001,8.414300000E-002
-0.24,1.08780000E-001,8.531200000E-002
-0.232,1.07880000E-001,8.693100000E-002
-0.224,1.07490000E-001,8.795700000E-002
-0.216,1.06770000E-001,8.920100000E-002
-0.208,1.06030000E-001,9.038000000E-002
-0.2,1.04940000E-001,9.141600000E-002
-0.192,1.04200000E-001,9.258500000E-002
-0.184,1.03140000E-001,9.353400000E-002
-0.176,1.02300000E-001,9.467500000E-002
-0.168,1.01210000E-001,9.588600000E-002
-0.16,1.00320000E-001,9.696800000E-002
-0.152,9.90260000E-002,9.811400000E-002
-0.144,9.82740000E-002,9.905700000E-002
-0.136,9.72210000E-002,9.997000000E-002
-0.128,9.62540000E-002,1.010200000E-001
-0.12,9.51870000E-002,1.013500000E-001
-0.112,9.40720000E-002,1.024300000E-001
-0.104,9.33420000E-002,1.030800000E-001
-0.096,9.24550000E-002,1.036600000E-001
-0.088,9.17320000E-002,1.042400000E-001
-0.08,9.09640000E-002,1.046800000E-001
