Resource Utilization,eps1
2.16E+008,1.43E-001
1.78E+008,4.17E-002
2.00E+008,3.00E-002
2.90E+008,1.94E-002
4.18E+008,1.99E-002
5.11E+008,1.34E-002
6.16E+008,1.68E-002
8.02E+008,1.60E-002
