Resource Utilization,eps1
2.63E+008,0.143
2.16E+008,0.0417
2.53E+008,0.03
3.75E+008,0.0194
5.16E+008,0.0199
7.40E+008,0.0134
9.23E+008,0.0168
1.44E+009,0.016
