tc,Enstrophy
0,0.374453125
0.02,0.3744407989
0.04,0.3744599853
0.06,0.3745109237
0.08,0.3745930001
0.1,0.3747063959
0.12,0.3748512792
0.14,0.3750274705
0.16,0.3752353118
0.18,0.3754736813
0.2,0.3757446622
0.22,0.3760470242
0.24,0.3763822752
0.26,0.3767509477
0.28,0.3771504633
0.3,0.3775828465
0.32,0.3780469099
0.34,0.3785425207
0.36,0.3790699545
0.38,0.3796298631
0.4,0.3802230608
0.42,0.380850355
0.44,0.381511725
0.46,0.382207644
0.48,0.3829372294
0.5,0.3837006811
0.52,0.3844977878
0.54,0.3853288202
0.56,0.3861942966
0.58,0.387094836
0.6,0.3880370008
0.62,0.3890031416
0.64,0.3900115094
0.66,0.3910560335
0.68,0.392136911
0.7,0.3932590904
0.72,0.3944079393
0.74,0.3955987677
0.76,0.396827283
0.78,0.3980943344
0.8,0.3994002827
0.82,0.4007458355
0.84,0.4021309971
0.86,0.4035556659
0.88,0.4050197437
0.9,0.4065233811
0.92,0.4080673655
0.94,0.4096514697
0.96,0.4112777006
0.98,0.4129465933
1,0.4146586543
1.02,0.416414014
1.04,0.4182135738
1.06,0.4200541016
1.08,0.4219389005
1.1,0.4238675888
1.12,0.4258412002
1.14,0.4278638853
1.16,0.4299277429
1.18,0.4320421276
1.2,0.4342043592
1.22,0.4364137904
1.24,0.4386696987
1.26,0.4409734653
1.28,0.4433254055
1.3,0.4457266954
1.32,0.4481785797
1.34,0.4506820431
1.36,0.4532376392
1.38,0.4558471604
1.4,0.4585057183
1.42,0.4612182535
1.44,0.463983489
1.46,0.4668021248
1.48,0.4696752564
1.5,0.472603857
1.52,0.4755896971
1.54,0.4786316412
1.56,0.4817417507
1.58,0.4848890147
1.6,0.4881038524
1.62,0.4913766335
1.64,0.4947083539
1.66,0.4981003455
1.68,0.5015538751
1.7,0.5050698015
1.72,0.508648488
1.74,0.5122900131
1.76,0.5159945242
1.78,0.5197625076
1.8,0.5235948219
1.82,0.5274925198
1.84,0.5314566212
1.86,0.5354881002
1.88,0.5395869532
1.9,0.543756706
1.92,0.5479905878
1.94,0.5522964227
1.96,0.556673122
1.98,0.561119282
2,0.5656378441
2.02,0.570228752
2.04,0.574892725
2.06,0.5796306583
2.08,0.5844488398
2.1,0.5893324728
2.12,0.5942967928
2.14,0.5993385657
2.16,0.6044576534
2.18,0.6096545506
2.2,0.6149300431
2.22,0.6202851842
2.24,0.6257211146
2.26,0.6312389615
2.28,0.6368389183
2.3,0.642521831
2.32,0.648287899
2.34,0.6541376981
2.36,0.6600721518
2.38,0.6660929217
2.4,0.6721998211
2.42,0.6783951414
2.44,0.6846791573
2.46,0.6910520533
2.48,0.6975143566
2.5,0.7040666904
2.52,0.7107100135
2.54,0.7174455758
2.56,0.7242745638
2.58,0.7311978711
2.6,0.7382163933
2.62,0.7453308746
2.64,0.752542167
2.66,0.7598514593
2.68,0.7672589132
2.7,0.774766204
2.72,0.7823740065
2.74,0.7900834918
2.76,0.7978957612
2.78,0.8058125063
2.8,0.8138350672
2.82,0.8219650112
2.84,0.8302035157
2.86,0.8385517278
2.88,0.8470109182
2.9,0.8555826183
2.92,0.8642686395
2.94,0.8730710302
2.96,0.8819918458
2.98,0.8910331019
3,0.9001968867
3.02,0.9094849622
3.04,0.9189002298
3.06,0.9284454056
3.08,0.9381232933
3.1,0.9479372969
3.12,0.9578910725
3.14,0.9679877759
3.16,0.9782306587
3.18,0.988623054
3.2,0.999168686
3.22,1.0098720477
3.24,1.0207385563
3.26,1.0317743857
3.28,1.0429860058
3.3,1.0543796935
3.32,1.0659613954
3.34,1.0777366673
3.36,1.0897118182
3.38,1.1018939104
3.4,1.1142914031
3.42,1.126914043
3.44,1.1397724591
3.46,1.1528776099
3.48,1.1662403445
3.5,1.1800140242
3.52,1.1937815131
3.54,1.207982083
3.56,1.2224853088
3.58,1.2373044032
3.6,1.2524534586
3.62,1.2679475168
3.64,1.2838024251
3.66,1.300035055
3.68,1.3166608788
3.7,1.3336972501
3.72,1.3511589777
3.74,1.3690605884
3.76,1.3874178851
3.78,1.4062410322
3.8,1.4255506719
3.82,1.4453619233
3.84,1.4656913034
3.86,1.4865534817
3.88,1.5079609892
3.9,1.5299232517
3.92,1.5524475747
3.94,1.5755419957
3.96,1.5992073172
3.98,1.6234551542
4,1.6482889194
4.02,1.6737126068
4.04,1.6997276355
4.06,1.7263336376
4.08,1.7535886025
4.1,1.7813111471
4.12,1.8096749423
4.14,1.8386120471
4.16,1.8681158597
4.18,1.8981608834
4.2,1.928751633
4.22,1.9598732156
4.24,1.991503899
4.26,2.0235960299
4.28,2.0560723512
4.3,2.0888473872
4.32,2.1218718267
4.34,2.1551453024
4.36,2.1887389027
4.38,2.2227086833
4.4,2.257059955
4.42,2.2917313729
4.44,2.3266274564
4.46,2.3616619344
4.48,2.3967773351
4.5,2.4319338785
4.52,2.4670935808
4.54,2.5022329977
4.56,2.5373637117
4.58,2.5725120565
4.6,2.6076845045
4.62,2.6428725537
4.64,2.6780690997
