tc,Enstrophy
0,0.374453125
0.02,0.3744408093
0.04,0.3744599854
0.06,0.3745106738
0.08,0.3745968174
0.1,0.3747063944
0.12,0.3748512792
0.14,0.3750274241
0.16,0.3752352449
0.18,0.3754736735
0.2,0.3757442705
0.22,0.3760470242
0.24,0.3763822892
0.26,0.376750145
0.28,0.3771544638
0.3,0.3775828468
0.32,0.3780474514
0.34,0.3785425207
0.36,0.3790699551
0.38,0.3796300782
0.4,0.3802230609
0.42,0.3808502346
0.44,0.3815117251
0.46,0.3822074999
0.48,0.3829384399
0.5,0.3837017899
0.52,0.384497788
0.54,0.3853291103
0.56,0.3861942967
0.58,0.3870948319
0.6,0.3880309743
0.62,0.3890031133
0.64,0.3900116747
0.66,0.3910561331
0.68,0.3921388146
0.7,0.3932542022
0.72,0.3944081652
0.74,0.3955988017
0.76,0.3968277134
0.78,0.3980942356
0.8,0.399400286
0.82,0.4007458355
0.84,0.4021309971
0.86,0.4035556967
0.88,0.4050197436
0.9,0.4065233572
0.92,0.4080686128
0.94,0.40965145
0.96,0.4112779024
0.98,0.4129465962
1,0.4146586692
1.02,0.416414014
1.04,0.4182125368
1.06,0.4200541016
1.08,0.421938898
1.1,0.4238675807
1.12,0.4258427076
1.14,0.4278609346
1.16,0.4299286364
1.18,0.4320421184
1.2,0.4342040808
1.22,0.4364143331
1.24,0.4386698195
1.26,0.4409734653
1.28,0.4433254055
1.3,0.4457266952
1.32,0.4481785799
1.34,0.4506820431
1.36,0.4532376392
1.38,0.4558455349
1.4,0.4585057181
1.42,0.4612182537
1.44,0.4639834857
1.46,0.4668047494
1.48,0.4696751969
1.5,0.4726038572
1.52,0.4755891238
1.54,0.4786316414
1.56,0.4817316184
1.58,0.4848890063
1.6,0.488103853
1.62,0.4913766343
1.64,0.4947171806
1.66,0.4981003517
1.68,0.5015539669
1.7,0.5050698032
1.72,0.5086484901
1.74,0.5122900249
1.76,0.5159945272
1.78,0.5197625141
1.8,0.523594826
1.82,0.5274925233
1.84,0.5314566094
1.86,0.5354878857
1.88,0.5395870767
1.9,0.5437543393
1.92,0.5479905903
1.94,0.5522963575
1.96,0.5566723501
1.98,0.5611192809
2,0.5656378407
2.02,0.5702287361
