tc,Enstrophy
0,0.000468319
0.02,0.000468319
0.04,0.0004673398
0.06,0.0004665324
0.08,0.0004666288
0.1,0.0004671937
0.12,0.0004670389
0.14,0.0004653962
0.16,0.0004628688
0.18,0.0004606053
0.2,0.0004586428
0.22,0.0004567401
0.24,0.0004556031
0.26,0.0004559741
0.28,0.0004584417
0.3,0.0004618313
0.32,0.000464322
0.34,0.0004654057
0.36,0.0004651922
0.38,0.0004639282
0.4,0.0004617143
0.42,0.0004591126
0.44,0.0004571773
0.46,0.0004575525
0.48,0.0004598135
0.5,0.000462304
0.52,0.0004639084
0.54,0.0004646417
0.56,0.0004641853
0.58,0.0004625072
0.6,0.0004609554
0.62,0.0004603398
0.64,0.000461836
0.66,0.0004659371
0.68,0.0004711759
0.7,0.0004754713
0.72,0.0004779542
0.74,0.0004784057
0.76,0.0004765811
0.78,0.0004740983
0.8,0.0004708648
0.82,0.0004690255
0.84,0.0004699641
0.86,0.0004735479
0.88,0.0004789373
0.9,0.0004837793
0.92,0.0004887495
0.94,0.0004928575
0.96,0.0004950997
0.98,0.0004949293
1,0.0004932829
1.02,0.0004921753
1.04,0.0004930283
1.06,0.0004960048
1.08,0.0005004191
1.1,0.0005054046
1.12,0.0005099939
1.14,0.0005129621
1.16,0.0005135087
1.18,0.0005124101
1.2,0.0005118755
1.22,0.0005138446
1.24,0.0005185023
1.26,0.0005245452
1.28,0.0005309199
1.3,0.0005364823
1.32,0.0005404578
1.34,0.0005431296
1.36,0.000544529
1.38,0.0005460068
1.4,0.0005480273
1.42,0.0005503958
1.44,0.0005534675
1.46,0.0005567311
1.48,0.0005602743
1.5,0.0005645181
1.52,0.0005696517
1.54,0.0005753029
1.56,0.0005808122
1.58,0.0005856652
1.6,0.0005898223
1.62,0.00059358
1.64,0.0005973133
1.66,0.0006012491
1.68,0.0006061652
1.7,0.0006117175
1.72,0.0006169244
1.74,0.000621216
1.76,0.0006239689
1.78,0.0006259467
1.8,0.0006285943
1.82,0.0006333285
1.84,0.0006407682
1.86,0.0006501951
1.88,0.0006599582
1.9,0.0006682415
1.92,0.0006737771
1.94,0.0006762389
1.96,0.0006765777
1.98,0.0006779094
2,0.0006818796
2.02,0.0006898096
2.04,0.0007007865
2.06,0.0007118394
2.08,0.0007213967
2.1,0.0007274502
2.12,0.0007298286
2.14,0.0007301862
2.16,0.0007312995
2.18,0.00073585
2.2,0.0007448841
2.22,0.0007575035
2.24,0.0007710431
2.26,0.0007829022
2.28,0.0007922015
2.3,0.000798086
2.32,0.0008006842
2.34,0.0008018385
2.36,0.0008037754
2.38,0.0008086114
2.4,0.0008171966
2.42,0.0008287518
2.44,0.0008418246
2.46,0.0008549224
2.48,0.0008667972
2.5,0.000875585
2.52,0.0008805162
2.54,0.0008835349
2.56,0.0008875593
2.58,0.0008947275
2.6,0.0009052263
2.62,0.0009180289
2.64,0.0009317992
2.66,0.0009449128
2.68,0.0009554078
