tc,Enstrophy
0,0.374453125
0.02,0.3744407989
0.04,0.3744599864
0.06,0.3745106731
0.08,0.3745928348
0.1,0.3747063942
0.12,0.3748568927
0.14,0.375027441
0.16,0.3752348296
0.18,0.3754736735
0.2,0.3757442705
0.22,0.376047025
0.24,0.3763823146
0.26,0.3767502109
0.28,0.3771504633
0.3,0.3775828465
0.32,0.37804691
0.34,0.3785425207
0.36,0.3790699546
0.38,0.3796415335
0.4,0.3802230611
0.42,0.3808502346
0.44,0.3815117265
0.46,0.3822081233
0.48,0.3829372295
0.5,0.3837006978
0.52,0.3844983713
0.54,0.3853423615
0.56,0.3861942966
0.58,0.3870948318
0.6,0.3880309743
0.62,0.3890031224
0.64,0.3900114391
0.66,0.3910560336
0.68,0.3921369092
0.7,0.3932541352
0.72,0.394407938
0.74,0.3955988332
0.76,0.396827283
0.78,0.3980942347
0.8,0.399400283
0.82,0.4007458378
0.84,0.4021364463
0.86,0.4035556664
0.88,0.4050197488
0.9,0.4065233572
0.92,0.4080670036
0.94,0.4096514577
0.96,0.4112777005
0.98,0.4129465939
1,0.4146586544
1.02,0.4164142962
1.04,0.4182125491
1.06,0.4200541285
1.08,0.4219389021
1.1,0.423867631
1.12,0.4258412003
1.14,0.4278609399
1.16,0.4299277429
1.18,0.4320421184
1.2,0.4342040776
1.22,0.4364133131
1.24,0.4386700918
1.26,0.4409734682
1.28,0.4433586228
1.3,0.4457266953
1.32,0.4481785796
1.34,0.4506820619
1.36,0.453237643
1.38,0.4558455938
1.4,0.4585057182
1.42,0.4612182555
1.44,0.4639834857
1.46,0.4668021251
1.48,0.4696751969
1.5,0.4726038572
1.52,0.4755891267
1.54,0.4786316415
1.56,0.4817316358
1.58,0.4848890194
1.6,0.488104478
1.62,0.4913766345
1.64,0.4947090537
1.66,0.4981003615
1.68,0.5015538881
1.7,0.5050698856
1.72,0.5086485935
1.74,0.5122900165
1.76,0.515994528
1.78,0.5197667063
1.8,0.5235948272
1.82,0.527492862
1.84,0.5314566125
1.86,0.5354879635
1.88,0.5395869743
1.9,0.5437543452
1.92,0.5479908711
1.94,0.5522965361
1.96,0.5566723597
1.98,0.5611194487
2,0.5656378532
2.02,0.5702287452
2.04,0.5748927309
2.06,0.5796306611
2.08,0.5844434377
2.1,0.5893319099
2.12,0.5942967776
2.14,0.5993385438
2.16,0.6044576728
2.18,0.6096545032
2.2,0.6149299819
2.22,0.6202851044
2.24,0.6257210128
2.26,0.6312386809
2.28,0.6368387776
2.3,0.6425216391
2.32,0.6482878574
2.34,0.6541374228
2.36,0.660072164
2.38,0.6660920642
2.4,0.6721994863
2.42,0.6783956829
2.44,0.684678514
2.46,0.6910514454
2.48,0.6975135822
2.5,0.7040657996
2.52,0.7107090441
2.54,0.7174444694
2.56,0.7242733448
2.58,0.731198624
2.6,0.7382154601
2.62,0.7453319193
2.64,0.7525403346
2.66,0.7598501235
2.68,0.7672581919
2.7,0.774763814
2.72,0.7823714172
2.74,0.7900806113
2.76,0.7978927094
2.78,0.8058092001
2.8,0.8138316499
2.82,0.8219615148
2.84,0.8301995731
2.86,0.8385475411
2.88,0.8470106257
2.9,0.8555780863
2.92,0.8642636896
2.94,0.8730658944
2.96,0.8819863672
2.98,0.8910273373
3,0.9001907331
3.02,0.9094786845
3.04,0.918893644
3.06,0.9284384561
3.08,0.9381160756
3.1,0.9479299944
3.12,0.9578835589
3.14,0.9679800126
3.16,0.9782226833
3.18,0.988614881
3.2,0.9991603222
3.22,1.0098634993
3.24,1.020734445
3.26,1.031765664
3.28,1.0429768605
3.3,1.0543703012
3.32,1.0659528195
3.34,1.0777271435
3.36,1.0897015913
3.38,1.1018831781
3.4,1.1142802537
3.42,1.1269024571
3.44,1.139760421
3.46,1.1528650849
3.48,1.1662273449
3.5,1.179858112
3.52,1.193767659
3.54,1.2079676602
3.56,1.2224704986
3.58,1.2372893033
3.6,1.2524400962
3.62,1.2679324793
3.64,1.2837878606
3.66,1.3000209679
3.68,1.3166485091
3.7,1.3336867029
3.72,1.3511508727
3.74,1.3690553704
3.76,1.3874145254
3.78,1.4062431161
3.8,1.4255570452
3.82,1.4453727521
3.84,1.4657068618
3.86,1.4865743696
3.88,1.5079880192
3.9,1.5299568238
3.92,1.5524888091
3.94,1.5755889159
3.96,1.599263692
3.98,1.6235199248
4,1.6483636127
4.02,1.673801985
4.04,1.699837559
4.06,1.7264680138
4.08,1.7536854508
4.1,1.7814783392
4.12,1.8098328809
4.14,1.8387382935
4.16,1.868184613
4.18,1.8981627463
4.2,1.9286613239
4.22,1.9596660894
4.24,1.9911618479
4.26,2.0231364973
4.28,2.0555809087
4.3,2.0884786345
4.32,2.1217895797
4.34,2.1554432288
4.36,2.1893545393
4.38,2.2234571268
4.4,2.2577324377
4.42,2.2922089027
4.44,2.3269279663
4.46,2.3619043203
4.48,2.3971035956
4.5,2.4324547172
4.52,2.467881724
4.54,2.5033320328
4.56,2.5387707876
4.58,2.5741844782
4.6,2.6095793998
4.62,2.6449496755
4.64,2.6802708951
