tc,Enstrophy
4.64,2.6769435567
4.66,2.7120780334
4.68,2.7471236023
4.7,2.7820676178
4.72,2.8169040666
4.74,2.8516215226
4.76,2.8861916869
4.78,2.9205744331
4.8,2.9547303578
4.82,2.9886252504
4.84,3.0222254562
4.86,3.0554909009
4.88,3.08837728
4.9,3.1208488529
4.92,3.1528938937
4.94,3.1845218323
4.96,3.2157452537
4.98,3.2465488544
5,3.2768896613
5.02,3.3067233186
5.04,3.3360298421
5.06,3.3648275162
5.08,3.3931461135
5.1,3.4210043767
5.12,3.4483967822
5.14,3.475300287
5.16,3.5016902347
5.18,3.5275538633
5.2,3.5528943023
5.22,3.577726112
5.24,3.6020668889
5.26,3.6259311134
5.28,3.6493270373
5.3,3.6722568502
5.32,3.6947239952
5.34,3.716730463
5.36,3.7382917781
5.38,3.7594293131
5.4,3.7801736021
5.42,3.8005609028
5.44,3.8206286858
5.46,3.8404168191
5.48,3.8599644138
5.5,3.8793118214
5.52,3.8984990627
5.54,3.9175654038
5.56,3.9365470901
5.58,3.9554786388
5.6,3.9743949086
5.62,3.9933324304
5.64,4.0123298579
5.66,4.0314254901
5.68,4.0506546692
5.7,4.0700490908
5.72,4.0896404089
5.74,4.1094656789
5.76,4.1295704333
5.78,4.1500066956
5.8,4.1708246063
5.82,4.1920703797
5.84,4.2137713269
5.86,4.2359600838
5.88,4.2586583101
5.9,4.281887255
5.92,4.3056647141
5.94,4.3300073438
5.96,4.3549366906
5.98,4.3804823017
6,4.4066779361
6.02,4.4335551796
6.04,4.461136276
6.06,4.4894370197
6.08,4.5184625672
6.1,4.5482115398
6.12,4.5786776298
6.14,4.6098528065
6.16,4.6417288404
6.18,4.6742992036
6.2,4.7075591286
6.22,4.7415043482
6.24,4.7761298703
6.26,4.8114308256
6.28,4.8474045077
6.3,4.8840516604
6.32,4.9213750394
6.34,4.959374474
6.36,4.9980400994
6.38,5.0373478581
6.4,5.0772602025
6.42,5.1177338286
6.44,5.1587366839
6.46,5.2002605096
6.48,5.2423219094
6.5,5.2849429532
6.52,5.3280787862
6.54,5.3715826966
6.56,5.4151034854
6.58,5.4580663571
6.6,5.499682176
6.62,5.5390244155
6.64,5.5751580089
6.66,5.6073079613
6.68,5.6350218118
6.7,5.6582702736
6.72,5.6774306431
6.74,5.6931560998
6.76,5.706208657
6.78,5.7173589942
6.8,5.7273624682
6.82,5.7369450886
6.84,5.7467049259
6.86,5.7573009494
6.88,5.7692083351
6.9,5.7825623277
6.92,5.7972111909
6.94,5.813197371
6.96,5.831003722
6.98,5.8510321867
7,5.8732235477
7.02,5.8972816608
7.04,5.9229942012
7.06,5.9504706692
7.08,5.9799892087
7.1,6.0115823282
7.12,6.0450701534
7.14,6.0804521972
7.16,6.1178710985
7.18,6.1571010987
7.2,6.1978883431
7.22,6.2403714066
7.24,6.284331339
7.26,6.3293577196
7.28,6.3759879052
7.3,6.4248096031
7.32,6.4749677449
7.34,6.5256092104
7.36,6.5772908628
7.38,6.6306592553
7.4,6.6852192084
7.42,6.7398377802
7.44,6.7937839432
7.46,6.8469576728
7.48,6.8996108108
7.5,6.9520207238
7.52,7.004164794
7.54,7.0555207488
7.56,7.1052793006
7.58,7.1529106505
7.6,7.1985861355
7.62,7.2430752546
7.64,7.2872285644
7.66,7.3314935316
7.68,7.3759313878
7.7,7.42056795
7.72,7.4655559459
7.74,7.5112047501
7.76,7.557934388
7.78,7.6061732787
7.8,7.6562114162
7.82,7.7079812728
7.84,7.761022042
7.86,7.814823461
7.88,7.869244094
7.9,7.9244926663
7.92,7.9807745656
7.94,8.0380972641
7.96,8.0963124551
7.98,8.1551802648
8,8.2143308293
8.02,8.2732504816
8.04,8.3315206613
8.06,8.3886763976
8.08,8.4442708762
8.1,8.4983827037
8.12,8.5511125872
8.14,8.6025274204
8.16,8.6528973209
8.18,8.7021098727
8.2,8.7491347031
8.22,8.7923150254
8.24,8.8309357406
8.26,8.8671221741
8.28,8.9047623992
8.3,8.9453089945
8.32,8.9876349844
8.34,9.0313012203
8.36,9.0764360283
8.38,9.1234367762
8.4,9.173773909
8.42,9.2276174008
8.44,9.2835453274
8.46,9.3413769638
8.48,9.4011548282
8.5,9.4619165232
8.52,9.5226782033
8.54,9.5825135245
8.56,9.6402380298
8.58,9.6959572611
8.6,9.7512563135
8.62,9.8066341304
8.64,9.8603531655
8.66,9.9097801987
8.68,9.9533603297
8.7,9.9908412398
8.72,10.0225618368
8.74,10.0484857495
8.76,10.0684225351
8.78,10.082561949
8.8,10.0915125047
8.82,10.0956190718
8.84,10.0955819125
8.86,10.0926329177
8.88,10.0877703273
8.9,10.0819726008
8.92,10.0768816652
8.94,10.0721282772
8.96,10.0630634301
8.98,10.0478519631
9,10.0323672582
9.02,10.0183349845
9.04,9.9985988168
9.06,9.9711812517
9.08,9.9424608056
9.1,9.9160627408
9.12,9.887886818
9.14,9.853587644
9.16,9.8148731698
9.18,9.776573698
9.2,9.7408443446
9.22,9.7043042633
9.24,9.6625124397
9.26,9.6167878585
9.28,9.5726015249
9.3,9.5333727521
9.32,9.4982348828
9.34,9.465082569
9.36,9.4334937835
9.38,9.4041874583
9.4,9.3780869946
9.42,9.3561056116
9.44,9.3384049826
9.46,9.3239254466
9.48,9.3114677264
9.5,9.3010847077
9.52,9.2936398105
9.54,9.2892276272
9.56,9.2866618062
9.58,9.2845254797
9.6,9.2820682787
9.62,9.2785423093
9.64,9.2731928243
9.66,9.2661175852
9.68,9.257554234
9.7,9.2468619579
9.72,9.2334204371
9.74,9.2179833758
9.76,9.2017656109
9.78,9.1853399617
9.8,9.1689988591
9.82,9.1531328222
9.84,9.1382632957
9.86,9.1247053574
9.88,9.1125231051
9.9,9.1016551036
9.92,9.0919950764
9.94,9.0833955923
9.96,9.0756435661
9.98,9.0683482704
10,9.0609849427
10.02,9.0533792746
10.04,9.045826335
10.06,9.0385639727
10.08,9.0321508541
10.1,9.02688677
10.12,9.0211568554
10.14,9.0126573486
10.16,9.0012562566
10.18,8.9885701625
10.2,8.9757953737
10.22,8.9625651556
10.24,8.94939346
10.26,8.9372763071
10.28,8.9255865825
10.3,8.9131163694
10.32,8.8995146262
10.34,8.8849181833
10.36,8.8690404129
10.38,8.8514276603
10.4,8.8322919296
10.42,8.8120791305
10.44,8.7908708711
10.46,8.7685893226
10.48,8.7453950206
10.5,8.7215151173
10.52,8.6969866581
10.54,8.6717609748
10.56,8.6458925301
10.58,8.6196223359
10.6,8.5933169055
10.62,8.5673597462
10.64,8.5419731928
10.66,8.5171457626
10.68,8.4928404813
10.7,8.4691695086
10.72,8.4462294072
10.74,8.4238734056
10.76,8.4018267949
10.78,8.3799273499
10.8,8.3580393332
10.82,8.3359543449
10.84,8.3136155634
10.86,8.2911544599
10.88,8.2686786346
10.9,8.2462213806
10.92,8.2237572039
10.94,8.2011918088
10.96,8.178368577
10.98,8.1550710471
11,8.1311238554
11.02,8.1065181697
11.04,8.0814759526
11.06,8.0563738771
11.08,8.0315850792
11.1,8.0073956209
11.12,7.9839825114
11.14,7.9613234632
11.16,7.9391791176
11.18,7.9172764247
11.2,7.8954494227
11.22,7.8735745855
11.24,7.8514816852
11.26,7.8289751963
11.28,7.8059342206
11.3,7.7823635377
11.32,7.7583244195
11.34,7.7338517046
11.36,7.7089485084
11.38,7.6835933268
11.4,7.6577310284
11.42,7.6312925414
11.44,7.6042641915
11.46,7.5767369797
11.48,7.5488403394
11.5,7.5206559034
11.52,7.4922348553
11.54,7.4636274036
11.56,7.4348709603
11.58,7.4059981209
11.6,7.3770593984
11.62,7.3481005579
11.64,7.319142351
11.66,7.2901824166
11.68,7.2612309034
11.7,7.2323221439
11.72,7.2034609593
11.74,7.1745559281
11.76,7.1454400123
11.78,7.1159795823
11.8,7.0861551504
11.82,7.0560236758
11.84,7.0256190294
11.86,6.9949031775
11.88,6.9638285815
11.9,6.9323986093
11.92,6.9006630153
11.94,6.8686239903
11.96,6.8361764157
11.98,6.8031619404
12,6.7694773777
12.02,6.735133414
12.04,6.7002467908
12.06,6.664990863
12.08,6.6295223283
12.1,6.5939220916
12.12,6.5582062295
12.14,6.5223728605
12.16,6.4864254677
12.18,6.4503468381
12.2,6.414085559
12.22,6.3775979801
12.24,6.3409098442
