Resource Utilization,eps2
2.16E+008,4.38E-001
1.78E+008,1.36E-001
2.00E+008,3.80E-002
2.90E+008,3.42E-002
4.18E+008,2.96E-002
5.11E+008,1.93E-002
6.16E+008,1.98E-002
8.02E+008,1.68E-002
