x/D,u/U,v/U
-2,1.12110000E+000,3.805600000E-003
-1.992,1.12180000E+000,4.002900000E-003
-1.984,1.12240000E+000,4.193400000E-003
-1.976,1.12300000E+000,4.385700000E-003
-1.968,1.12360000E+000,4.582200000E-003
-1.96,1.12420000E+000,4.784700000E-003
-1.952,1.12490000E+000,4.990300000E-003
-1.944,1.12550000E+000,5.196600000E-003
-1.936,1.12620000E+000,5.405300000E-003
-1.928,1.12680000E+000,5.617900000E-003
-1.92,1.12750000E+000,5.832800000E-003
-1.912,1.12810000E+000,6.051400000E-003
-1.904,1.12880000E+000,6.272400000E-003
-1.896,1.12950000E+000,6.498000000E-003
-1.888,1.13010000E+000,6.725200000E-003
-1.88,1.13080000E+000,6.956200000E-003
-1.872,1.13150000E+000,7.188400000E-003
-1.864,1.13220000E+000,7.426600000E-003
-1.856,1.13290000E+000,7.670300000E-003
-1.848,1.13360000E+000,7.914500000E-003
-1.84,1.13430000E+000,8.161000000E-003
-1.832,1.13500000E+000,8.411600000E-003
-1.824,1.13570000E+000,8.668100000E-003
-1.816,1.13650000E+000,8.925700000E-003
-1.808,1.13720000E+000,9.185200000E-003
-1.8,1.13790000E+000,9.449500000E-003
-1.792,1.13870000E+000,9.720500000E-003
-1.784,1.13940000E+000,9.995200000E-003
-1.776,1.14020000E+000,1.027100000E-002
-1.768,1.14100000E+000,1.054700000E-002
-1.76,1.14180000E+000,1.082800000E-002
-1.752,1.14250000E+000,1.111600000E-002
-1.744,1.14330000E+000,1.141200000E-002
-1.736,1.14410000E+000,1.170800000E-002
-1.728,1.14490000E+000,1.200600000E-002
-1.72,1.14570000E+000,1.231100000E-002
-1.712,1.14650000E+000,1.261800000E-002
-1.704,1.14730000E+000,1.292900000E-002
-1.696,1.14820000E+000,1.324800000E-002
-1.688,1.14900000E+000,1.357000000E-002
-1.68,1.14990000E+000,1.390300000E-002
-1.672,1.15070000E+000,1.424300000E-002
-1.664,1.15160000E+000,1.455800000E-002
-1.656,1.15240000E+000,1.489700000E-002
-1.648,1.15330000E+000,1.524400000E-002
-1.64,1.15420000E+000,1.559400000E-002
-1.632,1.15510000E+000,1.594400000E-002
-1.624,1.15600000E+000,1.630100000E-002
-1.616,1.15690000E+000,1.666600000E-002
-1.608,1.15780000E+000,1.703400000E-002
-1.6,1.15870000E+000,1.740500000E-002
-1.592,1.15960000E+000,1.778100000E-002
-1.584,1.16050000E+000,1.816400000E-002
-1.576,1.16150000E+000,1.855400000E-002
-1.568,1.16240000E+000,1.895000000E-002
-1.56,1.16340000E+000,1.934900000E-002
-1.552,1.16440000E+000,1.975000000E-002
-1.544,1.16540000E+000,2.016000000E-002
-1.536,1.16640000E+000,2.057100000E-002
-1.528,1.16740000E+000,2.099000000E-002
-1.52,1.16840000E+000,2.142200000E-002
-1.512,1.16940000E+000,2.186900000E-002
-1.504,1.17040000E+000,2.229500000E-002
-1.496,1.17140000E+000,2.273700000E-002
-1.488,1.17250000E+000,2.318200000E-002
-1.48,1.17350000E+000,2.363300000E-002
-1.472,1.17460000E+000,2.409400000E-002
-1.464,1.17570000E+000,2.456400000E-002
-1.456,1.17670000E+000,2.504300000E-002
-1.448,1.17780000E+000,2.552600000E-002
-1.44,1.17890000E+000,2.601800000E-002
-1.432,1.18000000E+000,2.651300000E-002
-1.424,1.18120000E+000,2.701900000E-002
-1.416,1.18230000E+000,2.752500000E-002
-1.408,1.18340000E+000,2.803500000E-002
-1.4,1.18460000E+000,2.855700000E-002
-1.392,1.18580000E+000,2.908800000E-002
-1.384,1.18690000E+000,2.962100000E-002
-1.376,1.18810000E+000,3.016000000E-002
-1.368,1.18930000E+000,3.070800000E-002
-1.36,1.19060000E+000,3.126300000E-002
-1.352,1.19180000E+000,3.182400000E-002
-1.344,1.19300000E+000,3.239500000E-002
-1.336,1.19430000E+000,3.298000000E-002
-1.328,1.19550000E+000,3.356800000E-002
-1.32,1.19680000E+000,3.416500000E-002
-1.312,1.19810000E+000,3.476800000E-002
-1.304,1.19940000E+000,3.537500000E-002
-1.296,1.20070000E+000,3.599200000E-002
-1.288,1.20200000E+000,3.661700000E-002
-1.28,1.20340000E+000,3.725600000E-002
-1.272,1.20470000E+000,3.790300000E-002
-1.264,1.20610000E+000,3.855500000E-002
-1.256,1.20740000E+000,3.921600000E-002
-1.248,1.20880000E+000,3.988300000E-002
-1.24,1.21020000E+000,4.056500000E-002
-1.232,1.21170000E+000,4.124800000E-002
-1.224,1.21310000E+000,4.193400000E-002
-1.216,1.21460000E+000,4.263100000E-002
-1.208,1.21610000E+000,4.333600000E-002
-1.2,1.21760000E+000,4.405000000E-002
-1.192,1.21910000E+000,4.478500000E-002
-1.184,1.22060000E+000,4.553200000E-002
-1.176,1.22210000E+000,4.628500000E-002
-1.168,1.22370000E+000,4.704100000E-002
-1.16,1.22520000E+000,4.781200000E-002
-1.152,1.22680000E+000,4.859300000E-002
-1.144,1.22840000E+000,4.937700000E-002
-1.136,1.23000000E+000,5.016900000E-002
-1.128,1.23170000E+000,5.096800000E-002
-1.12,1.23330000E+000,5.178900000E-002
-1.112,1.23500000E+000,5.263000000E-002
-1.104,1.23670000E+000,5.348100000E-002
-1.096,1.23840000E+000,5.434100000E-002
-1.088,1.24010000E+000,5.520000000E-002
-1.08,1.24180000E+000,5.606500000E-002
-1.072,1.24360000E+000,5.694600000E-002
-1.064,1.24530000E+000,5.785800000E-002
-1.056,1.24710000E+000,5.876600000E-002
-1.048,1.24890000E+000,5.967600000E-002
-1.04,1.25080000E+000,6.059300000E-002
-1.032,1.25270000E+000,6.152500000E-002
-1.024,1.25470000E+000,6.245600000E-002
-1.016,1.25660000E+000,6.338100000E-002
-1.008,1.25860000E+000,6.431700000E-002
-1,1.26060000E+000,6.528600000E-002
-0.992,1.26260000E+000,6.626400000E-002
-0.984,1.26460000E+000,6.726500000E-002
-0.976,1.26670000E+000,6.828900000E-002
-0.968,1.26880000E+000,6.930300000E-002
-0.96,1.27090000E+000,7.034800000E-002
-0.952,1.27300000E+000,7.139900000E-002
-0.944,1.27510000E+000,7.248000000E-002
-0.936,1.27730000E+000,7.357200000E-002
-0.928,1.27960000E+000,7.467300000E-002
-0.92,1.28180000E+000,7.576100000E-002
-0.912,1.28410000E+000,7.688100000E-002
-0.904,1.28640000E+000,7.798200000E-002
-0.896,1.28860000E+000,7.912800000E-002
-0.888,1.29090000E+000,8.033800000E-002
-0.88,1.29330000E+000,8.153900000E-002
-0.872,1.29570000E+000,8.274000000E-002
-0.864,1.29810000E+000,8.392700000E-002
-0.856,1.30060000E+000,8.513400000E-002
-0.848,1.30320000E+000,8.632700000E-002
-0.84,1.30580000E+000,8.753100000E-002
-0.832,1.30850000E+000,8.872600000E-002
-0.824,1.31130000E+000,8.990700000E-002
-0.816,1.31400000E+000,9.109300000E-002
-0.808,1.31670000E+000,9.233500000E-002
-0.8,1.31950000E+000,9.361300000E-002
-0.792,1.32210000E+000,9.490600000E-002
-0.784,1.32490000E+000,9.619900000E-002
-0.776,1.32770000E+000,9.749900000E-002
-0.768,1.33050000E+000,9.884000000E-002
-0.76,1.33330000E+000,1.001900000E-001
-0.752,1.33570000E+000,1.015700000E-001
-0.744,1.33800000E+000,1.030300000E-001
-0.736,1.34000000E+000,1.045100000E-001
-0.728,1.34100000E+000,1.061300000E-001
-0.72,1.34090000E+000,1.078300000E-001
-0.712,1.33830000E+000,1.094400000E-001
-0.704,1.33380000E+000,1.110900000E-001
-0.696,1.32590000E+000,1.127000000E-001
-0.688,1.31100000E+000,1.144000000E-001
-0.68,1.29060000E+000,1.159600000E-001
-0.672,1.26490000E+000,1.171700000E-001
-0.664,1.23650000E+000,1.182800000E-001
-0.656,1.19770000E+000,1.188700000E-001
-0.648,1.15080000E+000,1.188100000E-001
-0.64,1.09300000E+000,1.176600000E-001
-0.632,1.02920000E+000,1.157400000E-001
-0.624,9.60340000E-001,1.129400000E-001
-0.616,8.88500000E-001,1.089400000E-001
-0.608,8.15600000E-001,1.044700000E-001
-0.6,7.42300000E-001,9.861100000E-002
-0.592,6.72400000E-001,9.173900000E-002
-0.584,6.05370000E-001,8.405500000E-002
-0.576,5.41830000E-001,7.598000000E-002
-0.568,4.83550000E-001,6.762000000E-002
-0.56,4.32360000E-001,5.923300000E-002
-0.552,3.85560000E-001,5.070700000E-002
-0.544,3.41890000E-001,4.226000000E-002
-0.536,3.03910000E-001,3.415400000E-002
-0.528,2.72590000E-001,2.656200000E-002
-0.52,2.46200000E-001,1.927600000E-002
-0.512,2.22490000E-001,1.227200000E-002
-0.504,2.00770000E-001,5.551100000E-003
-0.496,1.81640000E-001,-9.345600000E-004
-0.488,1.65790000E-001,-6.923400000E-003
-0.48,1.52090000E-001,-1.254200000E-002
-0.472,1.39960000E-001,-1.796400000E-002
-0.464,1.28090000E-001,-2.294000000E-002
-0.456,1.17600000E-001,-2.755000000E-002
-0.448,1.08460000E-001,-3.212700000E-002
-0.44,9.99450000E-002,-3.636300000E-002
-0.432,9.19630000E-002,-4.036800000E-002
-0.424,8.44130000E-002,-4.397400000E-002
-0.416,7.71630000E-002,-4.745300000E-002
-0.408,7.03760000E-002,-5.062800000E-002
-0.4,6.41440000E-002,-5.343900000E-002
-0.392,5.81840000E-002,-5.612400000E-002
-0.384,5.22300000E-002,-5.876100000E-002
-0.376,4.61990000E-002,-6.115100000E-002
-0.368,3.97880000E-002,-6.307000000E-002
-0.36,3.40390000E-002,-6.490500000E-002
-0.352,2.80710000E-002,-6.652400000E-002
-0.344,2.24910000E-002,-6.819200000E-002
-0.336,1.56830000E-002,-7.020800000E-002
-0.328,1.01500000E-002,-7.130000000E-002
-0.32,4.03760000E-003,-7.256400000E-002
-0.312,-1.80730000E-003,-7.324900000E-002
-0.304,-7.62860000E-003,-7.424200000E-002
-0.296,-1.33650000E-002,-7.519400000E-002
-0.288,-1.93470000E-002,-7.591900000E-002
-0.28,-2.54240000E-002,-7.625100000E-002
-0.272,-3.13790000E-002,-7.644600000E-002
-0.264,-3.73970000E-002,-7.655000000E-002
-0.256,-4.32570000E-002,-7.660000000E-002
-0.248,-4.90390000E-002,-7.615900000E-002
-0.24,-5.49070000E-002,-7.570000000E-002
-0.232,-6.11940000E-002,-7.492700000E-002
-0.224,-6.70010000E-002,-7.432500000E-002
-0.216,-7.21520000E-002,-7.348600000E-002
-0.208,-7.75500000E-002,-7.238800000E-002
-0.2,-8.27180000E-002,-7.063600000E-002
-0.192,-8.74480000E-002,-6.899100000E-002
-0.184,-9.25480000E-002,-6.762300000E-002
-0.176,-9.75890000E-002,-6.579100000E-002
-0.168,-1.02510000E-001,-6.378900000E-002
-0.16,-1.07540000E-001,-6.173000000E-002
-0.152,-1.12010000E-001,-5.958000000E-002
-0.144,-1.16740000E-001,-5.733800000E-002
-0.136,-1.21350000E-001,-5.484100000E-002
-0.128,-1.25510000E-001,-5.196400000E-002
-0.12,-1.30220000E-001,-4.949400000E-002
-0.112,-1.33960000E-001,-4.658300000E-002
-0.104,-1.37850000E-001,-4.400200000E-002
-0.096,-1.41310000E-001,-4.081600000E-002
-0.088,-1.44680000E-001,-3.746300000E-002
-0.08,-1.48150000E-001,-3.400800000E-002
-0.072,-1.51480000E-001,-3.048700000E-002
-0.064,-1.54400000E-001,-2.696000000E-002
-0.056,-1.56730000E-001,-2.339600000E-002
-0.048,-1.58730000E-001,-1.975500000E-002
-0.04,-1.60890000E-001,-1.634200000E-002
-0.032,-1.62530000E-001,-1.270900000E-002
-0.024,-1.63570000E-001,-8.622100000E-003
-0.016,-1.64300000E-001,-4.599500000E-003
-0.008,-1.64940000E-001,-1.340000000E-003
0,-1.65180000E-001,2.354000000E-003
0.008,-1.65130000E-001,5.921400000E-003
0.016,-1.64450000E-001,9.559300000E-003
0.024,-1.63660000E-001,1.311900000E-002
0.032,-1.62450000E-001,1.679200000E-002
0.04,-1.61290000E-001,2.032600000E-002
0.048,-1.59500000E-001,2.379700000E-002
0.056,-1.58050000E-001,2.736600000E-002
0.064,-1.55310000E-001,3.069200000E-002
0.072,-1.52430000E-001,3.405600000E-002
0.08,-1.49250000E-001,3.745700000E-002
0.088,-1.46020000E-001,4.077000000E-002
0.096,-1.42740000E-001,4.382500000E-002
0.104,-1.39130000E-001,4.685900000E-002
0.112,-1.35340000E-001,4.986800000E-002
0.12,-1.31740000E-001,5.278600000E-002
0.128,-1.27900000E-001,5.544400000E-002
0.136,-1.24020000E-001,5.801700000E-002
0.144,-1.19750000E-001,6.055000000E-002
0.152,-1.15590000E-001,6.305200000E-002
0.16,-1.10890000E-001,6.501700000E-002
0.168,-1.06090000E-001,6.706000000E-002
0.176,-1.01590000E-001,6.902400000E-002
0.184,-9.61340000E-002,7.031900000E-002
0.192,-9.10600000E-002,7.204000000E-002
0.2,-8.55830000E-002,7.346900000E-002
0.208,-7.98410000E-002,7.462100000E-002
0.216,-7.40990000E-002,7.568600000E-002
0.224,-6.80230000E-002,7.664400000E-002
0.232,-6.19860000E-002,7.729200000E-002
