x/D,u/U,v/U
-2,1.12641589E+000,-4.302197802E-003
-1.992,1.12713440E+000,-4.171851226E-003
-1.984,1.12781065E+000,-4.045350803E-003
-1.976,1.12852916E+000,-3.928825021E-003
-1.968,1.12920541E+000,-3.818512257E-003
-1.96,1.12992392E+000,-3.712806424E-003
-1.952,1.13055790E+000,-3.598478445E-003
-1.944,1.13123415E+000,-3.486601860E-003
-1.936,1.13191040E+000,-3.372400676E-003
-1.928,1.13262891E+000,-3.235038039E-003
-1.92,1.13334742E+000,-3.082628910E-003
-1.912,1.13406593E+000,-2.946534235E-003
-1.904,1.13486898E+000,-2.804902790E-003
-1.896,1.13562976E+000,-2.665722739E-003
-1.888,1.13639053E+000,-2.523668639E-003
-1.88,1.13710905E+000,-2.374218090E-003
-1.872,1.13782756E+000,-2.232290786E-003
-1.864,1.13854607E+000,-2.088292477E-003
-1.856,1.13922232E+000,-1.942349958E-003
-1.848,1.13994083E+000,-1.798182587E-003
-1.84,1.14065934E+000,-1.652282333E-003
-1.832,1.14133559E+000,-1.510946746E-003
-1.824,1.14205410E+000,-1.371428571E-003
-1.816,1.14277261E+000,-1.229628064E-003
-1.808,1.14353339E+000,-1.088588335E-003
-1.8,1.14429417E+000,-9.395181741E-004
-1.792,1.14505495E+000,-7.885883347E-004
-1.784,1.14585799E+000,-6.218934911E-004
-1.776,1.14661877E+000,-4.656382079E-004
-1.768,1.14742181E+000,-3.036179205E-004
-1.76,1.14822485E+000,-1.524513948E-004
-1.752,1.14902790E+000,7.801775148E-006
-1.744,1.14987320E+000,1.560481826E-004
-1.736,1.15067625E+000,3.515722739E-004
-1.728,1.15147929E+000,5.451817413E-004
-1.72,1.15228233E+000,7.550295858E-004
-1.712,1.15312764E+000,9.609890110E-004
-1.704,1.15397295E+000,1.134573119E-003
-1.696,1.15486052E+000,1.307269653E-003
-1.688,1.15574810E+000,1.490659341E-003
-1.68,1.15663567E+000,1.684953508E-003
-1.672,1.15752325E+000,1.873330516E-003
-1.664,1.15845309E+000,2.076796281E-003
-1.656,1.15934066E+000,2.289940828E-003
-1.648,1.16027050E+000,2.521513102E-003
-1.64,1.16120034E+000,2.771470837E-003
-1.632,1.16217244E+000,2.993533390E-003
-1.624,1.16314455E+000,3.215891801E-003
-1.616,1.16407439E+000,3.432163990E-003
-1.608,1.16504649E+000,3.633136095E-003
-1.6,1.16601860E+000,3.855874894E-003
-1.592,1.16703297E+000,4.081614539E-003
-1.584,1.16800507E+000,4.306424345E-003
-1.576,1.16901944E+000,4.533812342E-003
-1.568,1.17003381E+000,4.740067625E-003
-1.56,1.17113271E+000,4.970836855E-003
-1.552,1.17218935E+000,5.215553677E-003
-1.544,1.17320372E+000,5.450972105E-003
-1.536,1.17430262E+000,5.688926458E-003
-1.528,1.17535926E+000,5.937024514E-003
-1.52,1.17645816E+000,6.203296703E-003
-1.512,1.17755706E+000,6.443364328E-003
-1.504,1.17861369E+000,6.704987320E-003
-1.496,1.17971260E+000,6.968723584E-003
-1.488,1.18081150E+000,7.224006762E-003
-1.48,1.18186813E+000,7.492392223E-003
-1.472,1.18296703E+000,7.764581572E-003
-1.464,1.18406593E+000,8.051986475E-003
-1.456,1.18512257E+000,8.360101437E-003
-1.448,1.18622147E+000,8.658495351E-003
-1.44,1.18732037E+000,8.950549451E-003
-1.432,1.18846154E+000,9.239644970E-003
-1.424,1.18960271E+000,9.527895182E-003
-1.416,1.19078614E+000,9.800929839E-003
-1.408,1.19201183E+000,1.006043956E-002
-1.4,1.19319527E+000,1.033601014E-002
-1.392,1.19442096E+000,1.061961116E-002
-1.384,1.19564666E+000,1.091969569E-002
-1.376,1.19687236E+000,1.124387151E-002
-1.368,1.19814032E+000,1.158748943E-002
-1.36,1.19940828E+000,1.194209637E-002
-1.352,1.20067625E+000,1.227514793E-002
-1.344,1.20194421E+000,1.258537616E-002
-1.336,1.20325444E+000,1.289856298E-002
-1.328,1.20456467E+000,1.320921386E-002
-1.32,1.20587489E+000,1.353000845E-002
-1.312,1.20714286E+000,1.385545224E-002
-1.304,1.20845309E+000,1.419780220E-002
-1.296,1.20976331E+000,1.453803888E-002
-1.288,1.21111581E+000,1.487996619E-002
-1.28,1.21246830E+000,1.523203719E-002
-1.272,1.21377853E+000,1.560270499E-002
-1.264,1.21513102E+000,1.598732037E-002
-1.256,1.21644125E+000,1.638123415E-002
-1.248,1.21775148E+000,1.676754015E-002
-1.24,1.21914624E+000,1.713271344E-002
-1.232,1.22054100E+000,1.747675402E-002
-1.224,1.22197802E+000,1.781952663E-002
-1.216,1.22341505E+000,1.817878276E-002
-1.208,1.22485207E+000,1.855663567E-002
-1.2,1.22633136E+000,1.894167371E-002
-1.192,1.22781065E+000,1.933727811E-002
-1.184,1.22933221E+000,1.972189349E-002
-1.176,1.23085376E+000,2.013609467E-002
-1.168,1.23241758E+000,2.054353339E-002
-1.16,1.23398140E+000,2.091673711E-002
-1.152,1.23554522E+000,2.131318681E-002
-1.144,1.23706678E+000,2.174344886E-002
-1.136,1.23858834E+000,2.219526627E-002
-1.128,1.24010989E+000,2.264750634E-002
-1.12,1.24167371E+000,2.307607777E-002
-1.112,1.24327980E+000,2.350887574E-002
-1.104,1.24488588E+000,2.394209637E-002
-1.096,1.24653424E+000,2.436813187E-002
-1.088,1.24818259E+000,2.481656805E-002
-1.08,1.24983094E+000,2.525401522E-002
-1.072,1.25160609E+000,2.566103128E-002
-1.064,1.25346577E+000,2.609382925E-002
-1.056,1.25532544E+000,2.655240913E-002
-1.048,1.25718512E+000,2.703423500E-002
-1.04,1.25908707E+000,2.749027895E-002
-1.032,1.26098901E+000,2.793195266E-002
-1.024,1.26284869E+000,2.837235841E-002
-1.016,1.26466610E+000,2.880684700E-002
-1.008,1.26644125E+000,2.927979713E-002
-1,1.26830093E+000,2.971639899E-002
-0.992,1.27020287E+000,3.016568047E-002
-0.984,1.27210482E+000,3.062806424E-002
-0.976,1.27409129E+000,3.111411665E-002
-0.968,1.27603550E+000,3.164032122E-002
-0.96,1.27810651E+000,3.208495351E-002
-0.952,1.28013525E+000,3.252366864E-002
-0.944,1.28216399E+000,3.298732037E-002
-0.936,1.28419273E+000,3.343533390E-002
-0.928,1.28622147E+000,3.390025359E-002
-0.92,1.28820795E+000,3.434742181E-002
-0.912,1.29027895E+000,3.475316991E-002
-0.904,1.29234996E+000,3.518765850E-002
-0.896,1.29450550E+000,3.566779374E-002
-0.888,1.29661877E+000,3.612172443E-002
-0.88,1.29881657E+000,3.656720203E-002
-0.872,1.30101437E+000,3.708326289E-002
-0.864,1.30329670E+000,3.762341505E-002
-0.856,1.30557904E+000,3.815257819E-002
-0.848,1.30790364E+000,3.866694844E-002
-0.84,1.31022823E+000,3.916229924E-002
-0.832,1.31251057E+000,3.962299239E-002
-0.824,1.31475063E+000,4.004184277E-002
-0.816,1.31699070E+000,4.045773457E-002
-0.808,1.31914624E+000,4.089898563E-002
-0.8,1.32125951E+000,4.131741336E-002
-0.792,1.32328825E+000,4.167709214E-002
-0.784,1.32502113E+000,4.208579882E-002
-0.776,1.32645816E+000,4.251056636E-002
-0.768,1.32738800E+000,4.295857988E-002
-0.76,1.32747253E+000,4.347421809E-002
-0.752,1.32650042E+000,4.394336433E-002
-0.744,1.32464074E+000,4.439983094E-002
-0.736,1.32096365E+000,4.486052409E-002
-0.728,1.31542688E+000,4.531699070E-002
-0.72,1.30731192E+000,4.575655114E-002
-0.712,1.29518174E+000,4.617920541E-002
-0.704,1.27831784E+000,4.647083686E-002
-0.696,1.25701606E+000,4.670752325E-002
-0.688,1.22971260E+000,4.685967878E-002
-0.68,1.19619611E+000,4.690194421E-002
-0.672,1.15857988E+000,4.677937447E-002
-0.664,1.11420118E+000,4.651310228E-002
-0.656,1.06179205E+000,4.581572274E-002
-0.648,1.00502959E+000,4.465765004E-002
-0.64,9.43786982E-001,4.296280642E-002
-0.632,8.80050719E-001,4.089940828E-002
-0.624,8.12679628E-001,3.840448014E-002
-0.616,7.42814877E-001,3.555579036E-002
-0.608,6.72062553E-001,3.216314455E-002
-0.6,6.01310228E-001,2.839095520E-002
-0.592,5.32079459E-001,2.424049028E-002
-0.584,4.68554522E-001,1.977514793E-002
-0.576,4.07269653E-001,1.503719358E-002
-0.568,3.49957735E-001,1.013271344E-002
-0.56,2.98846154E-001,5.196111581E-003
-0.552,2.51741336E-001,-6.978021978E-005
-0.544,2.11048183E-001,-5.278951817E-003
-0.536,1.77396450E-001,-1.028486898E-002
-0.528,1.50054945E-001,-1.489729501E-002
-0.52,1.26466610E-001,-1.950718512E-002
-0.512,1.06149620E-001,-2.406931530E-002
-0.504,8.83093829E-002,-2.848689772E-002
-0.496,7.13060017E-002,-3.292899408E-002
-0.488,5.73795435E-002,-3.693786982E-002
-0.48,4.66187659E-002,-4.043195266E-002
-0.472,3.73884193E-002,-4.370245139E-002
-0.464,2.89788673E-002,-4.686813187E-002
-0.456,2.14497041E-002,-4.983093829E-002
-0.448,1.49285714E-002,-5.259932375E-002
-0.44,9.21808960E-003,-5.511834320E-002
-0.432,4.11132713E-003,-5.741758242E-002
-0.424,-4.98351648E-004,-5.949281488E-002
-0.416,-4.84573119E-003,-6.142857143E-002
-0.408,-8.79078614E-003,-6.312764159E-002
-0.4,-1.24374472E-002,-6.461538462E-002
-0.392,-1.59602705E-002,-6.595942519E-002
-0.384,-1.93326289E-002,-6.711749789E-002
-0.376,-2.24864751E-002,-6.811073542E-002
-0.368,-2.53732037E-002,-6.881234150E-002
-0.36,-2.82806424E-002,-6.928148774E-002
-0.352,-3.11838546E-002,-6.966610313E-002
-0.344,-3.39302621E-002,-6.990701606E-002
-0.336,-3.66411665E-002,-7.003803888E-002
