Resource Utilization,eps3
2.63E+008,3.53E-001
2.16E+008,1.06E-001
2.53E+008,3.49E-002
3.75E+008,1.61E-002
5.16E+008,1.09E-002
7.40E+008,8.45E-003
9.23E+008,6.18E-003
1.44E+009,5.38E-003
