Resource Utilization,eps3
2.16E+008,3.53E-001
1.78E+008,1.06E-001
2.00E+008,3.49E-002
2.90E+008,1.61E-002
4.18E+008,1.09E-002
5.11E+008,8.45E-003
6.16E+008,6.18E-003
8.02E+008,5.38E-003
