x/D,u/U
4.7,7.08E-001
4.715,7.08E-001
4.73,7.09E-001
4.745,7.09E-001
4.76,7.09E-001
4.775,7.10E-001
4.79,7.10E-001
4.805,7.10E-001
4.82,7.11E-001
4.835,7.11E-001
4.85,7.11E-001
4.865,7.11E-001
4.88,7.12E-001
4.895,7.12E-001
4.91,7.12E-001
4.925,7.13E-001
4.94,7.13E-001
4.955,7.14E-001
4.97,7.14E-001
4.985,7.14E-001
5,7.15E-001
5.015,7.15E-001
5.03,7.16E-001
5.045,7.16E-001
5.06,7.16E-001
5.075,7.17E-001
5.09,7.17E-001
5.105,7.18E-001
5.12,7.18E-001
5.135,7.19E-001
5.15,7.19E-001
5.165,7.20E-001
5.18,7.20E-001
5.195,7.21E-001
5.21,7.21E-001
5.225,7.21E-001
5.24,7.22E-001
5.255,7.22E-001
5.27,7.23E-001
5.285,7.23E-001
5.3,7.24E-001
5.315,7.24E-001
5.33,7.24E-001
5.345,7.25E-001
5.36,7.25E-001
5.375,7.25E-001
5.39,7.26E-001
5.405,7.26E-001
5.42,7.26E-001
5.435,7.27E-001
5.45,7.27E-001
5.465,7.27E-001
5.48,7.28E-001
5.495,7.28E-001
5.51,7.29E-001
5.525,7.29E-001
5.54,7.29E-001
5.555,7.30E-001
5.57,7.30E-001
5.585,7.31E-001
5.6,7.31E-001
5.615,7.31E-001
5.63,7.32E-001
5.645,7.32E-001
5.66,7.32E-001
5.675,7.33E-001
5.69,7.33E-001
5.705,7.33E-001
5.72,7.34E-001
5.735,7.34E-001
5.75,7.34E-001
5.765,7.35E-001
5.78,7.35E-001
5.795,7.35E-001
5.81,7.36E-001
5.825,7.36E-001
5.84,7.36E-001
5.855,7.36E-001
5.87,7.37E-001
5.885,7.37E-001
5.9,7.37E-001
5.915,7.38E-001
5.93,7.38E-001
5.945,7.38E-001
5.96,7.38E-001
5.975,7.38E-001
5.99,7.39E-001
6.005,7.39E-001
6.02,7.39E-001
6.035,7.40E-001
6.05,7.40E-001
6.065,7.40E-001
6.08,7.40E-001
6.095,7.41E-001
6.11,7.41E-001
6.125,7.42E-001
6.14,7.42E-001
6.155,7.42E-001
6.17,7.43E-001
6.185,7.43E-001
6.2,7.43E-001
6.215,7.44E-001
6.23,7.44E-001
6.245,7.44E-001
6.26,7.45E-001
6.275,7.45E-001
6.29,7.45E-001
6.305,7.45E-001
6.32,7.46E-001
6.335,7.46E-001
6.35,7.46E-001
6.365,7.47E-001
6.38,7.47E-001
6.395,7.47E-001
6.41,7.48E-001
6.425,7.48E-001
6.44,7.48E-001
6.455,7.49E-001
6.47,7.49E-001
6.485,7.49E-001
6.5,7.50E-001
6.515,7.50E-001
6.53,7.51E-001
6.545,7.51E-001
6.56,7.51E-001
6.575,7.52E-001
6.59,7.52E-001
6.605,7.53E-001
6.62,7.53E-001
6.635,7.53E-001
6.65,7.54E-001
6.665,7.54E-001
6.68,7.54E-001
6.695,7.55E-001
6.71,7.55E-001
6.725,7.55E-001
6.74,7.55E-001
6.755,7.55E-001
6.77,7.55E-001
6.785,7.56E-001
6.8,7.56E-001
6.815,7.56E-001
6.83,7.56E-001
6.845,7.56E-001
6.86,7.56E-001
6.875,7.57E-001
6.89,7.57E-001
6.905,7.57E-001
6.92,7.57E-001
6.935,7.57E-001
6.95,7.57E-001
6.965,7.57E-001
6.98,7.58E-001
6.995,7.58E-001
7.01,7.58E-001
7.025,7.58E-001
7.04,7.59E-001
7.055,7.59E-001
7.07,7.59E-001
7.085,7.59E-001
7.1,7.60E-001
7.115,7.60E-001
7.13,7.60E-001
7.145,7.61E-001
7.16,7.61E-001
7.175,7.61E-001
7.19,7.61E-001
7.205,7.62E-001
7.22,7.62E-001
7.235,7.62E-001
7.25,7.63E-001
7.265,7.63E-001
7.28,7.63E-001
7.295,7.63E-001
7.31,7.64E-001
7.325,7.64E-001
7.34,7.64E-001
7.355,7.65E-001
7.37,7.65E-001
7.385,7.65E-001
7.4,7.65E-001
7.415,7.65E-001
7.43,7.66E-001
7.445,7.66E-001
7.46,7.66E-001
7.475,7.66E-001
7.49,7.66E-001
7.505,7.66E-001
7.52,7.66E-001
7.535,7.66E-001
7.55,7.67E-001
7.565,7.67E-001
7.58,7.67E-001
7.595,7.67E-001
7.61,7.67E-001
7.625,7.67E-001
7.64,7.67E-001
7.655,7.67E-001
7.67,7.67E-001
7.685,7.67E-001
7.7,7.68E-001
7.715,7.68E-001
7.73,7.68E-001
7.745,7.68E-001
7.76,7.68E-001
7.775,7.68E-001
7.79,7.69E-001
7.805,7.69E-001
7.82,7.69E-001
7.835,7.69E-001
7.85,7.69E-001
7.865,7.70E-001
7.88,7.70E-001
7.895,7.70E-001
7.91,7.70E-001
7.925,7.71E-001
7.94,7.71E-001
7.955,7.71E-001
7.97,7.71E-001
7.985,7.71E-001
8,7.71E-001
