x/D,u/U
4.175,3.06220415E-002
4.19,3.07167846E-002
4.205,3.07227110E-002
4.22,3.06990092E-002
4.235,3.06990092E-002
4.25,3.06738360E-002
4.265,3.06619934E-002
4.28,3.07019714E-002
4.295,3.07582808E-002
4.31,3.08220616E-002
4.325,3.08220616E-002
4.34,3.08265138E-002
4.355,3.08769955E-002
4.37,3.09557700E-002
4.385,3.10912583E-002
4.4,3.12016538E-002
4.415,3.13736025E-002
4.43,3.14380178E-002
4.445,3.14709999E-002
4.46,3.14799981E-002
4.475,3.14874975E-002
4.49,3.15340139E-002
4.505,3.16376738E-002
4.52,3.16527110E-002
4.535,3.15760583E-002
4.55,3.15385173E-002
4.565,3.15745562E-002
4.58,3.16466957E-002
4.595,3.16331633E-002
4.61,3.16136215E-002
4.625,3.15775604E-002
4.64,3.15580358E-002
4.655,3.15340139E-002
4.67,3.14889975E-002
4.685,3.14859975E-002
4.7,3.15355150E-002
4.715,3.15955884E-002
4.73,3.16451919E-002
4.745,3.16481995E-002
4.76,3.16647434E-002
4.775,3.16466957E-002
4.79,3.16632392E-002
4.805,3.17339740E-002
4.82,3.17927288E-002
4.835,3.18213726E-002
4.85,3.17867002E-002
4.865,3.17836861E-002
4.88,3.18168490E-002
4.895,3.18062953E-002
4.91,3.17490342E-002
4.925,3.17324682E-002
4.94,3.17776583E-002
4.955,3.17716311E-002
4.97,3.17445158E-002
4.985,3.17445158E-002
5,3.17384917E-002
5.015,3.17309624E-002
5.03,3.16346667E-002
5.045,3.15685483E-002
5.06,3.15940859E-002
5.075,3.16331633E-002
5.09,3.15835691E-002
5.105,3.15160035E-002
5.12,3.14650019E-002
5.135,3.14215331E-002
5.15,3.13586317E-002
5.165,3.12658923E-002
5.18,3.12643977E-002
5.195,3.12883167E-002
5.21,3.12987841E-002
5.225,3.13032707E-002
5.24,3.13197243E-002
5.255,3.13197243E-002
5.27,3.12509472E-002
5.285,3.11792605E-002
5.3,3.11166021E-002
5.315,3.10748649E-002
5.33,3.10718847E-002
5.345,3.10361340E-002
5.36,3.10465592E-002
5.375,3.10376232E-002
5.39,3.10138002E-002
5.405,3.10242216E-002
5.42,3.10286885E-002
5.435,3.10123116E-002
5.45,3.10659248E-002
5.465,3.11374813E-002
5.48,3.11777679E-002
5.495,3.12285363E-002
5.51,3.13152365E-002
5.525,3.14530075E-002
5.54,3.15685483E-002
5.555,3.17144012E-002
5.57,3.18786989E-002
5.585,3.19119113E-002
5.6,3.19315450E-002
5.615,3.19844350E-002
5.63,3.20858035E-002
5.645,3.21327596E-002
5.66,3.21357902E-002
5.675,3.21630721E-002
5.69,3.21070052E-002
5.705,3.20086278E-002
5.72,3.19390981E-002
5.735,3.18274045E-002
5.75,3.16888151E-002
5.765,3.15475251E-002
5.78,3.14769986E-002
5.795,3.14395166E-002
5.81,3.14110452E-002
5.825,3.13152365E-002
5.84,3.12016538E-002
5.855,3.10420910E-002
5.87,3.09855223E-002
5.885,3.09751074E-002
5.9,3.09483342E-002
5.915,3.08755102E-002
5.93,3.07701420E-002
5.945,3.06916042E-002
5.96,3.05821156E-002
5.975,3.04728227E-002
5.99,3.03166087E-002
6.005,3.02121993E-002
6.02,3.01872266E-002
6.035,3.01387797E-002
6.05,3.00317474E-002
6.065,2.99088225E-002
6.08,2.98197136E-002
6.095,2.97103358E-002
6.11,2.96520831E-002
6.125,2.95967960E-002
6.14,2.94907313E-002
6.155,2.94065964E-002
6.17,2.93660226E-002
6.185,2.93385063E-002
6.2,2.92907456E-002
6.215,2.93124502E-002
6.23,2.93776123E-002
6.245,2.93892042E-002
6.26,2.94007985E-002
6.275,2.94254438E-002
6.29,2.94196440E-002
6.305,2.94384955E-002
6.32,2.94805707E-002
6.335,2.95648112E-002
6.35,2.96273430E-002
6.365,2.96564501E-002
6.38,2.96564501E-002
6.395,2.96753773E-002
6.41,2.96695529E-002
6.425,2.96622732E-002
6.44,2.96302531E-002
6.455,2.96229782E-002
6.47,2.96113402E-002
6.485,2.96157042E-002
6.5,2.96579058E-002
6.515,2.96506275E-002
6.53,2.96360736E-002
6.545,2.95880711E-002
6.56,2.95808014E-002
6.575,2.95488253E-002
6.59,2.94747654E-002
6.605,2.94196440E-002
6.62,2.93341628E-002
6.635,2.92256799E-002
6.65,2.91202829E-002
6.665,2.90280367E-002
6.68,2.89460031E-002
6.695,2.88798852E-002
6.71,2.88167127E-002
6.725,2.87593432E-002
6.74,2.87063273E-002
6.755,2.86247498E-002
6.77,2.85447166E-002
6.785,2.84705004E-002
6.8,2.84092022E-002
6.815,2.83707465E-002
6.83,2.83408544E-002
6.845,2.82996009E-002
6.86,2.82825392E-002
6.875,2.82697463E-002
6.89,2.82470106E-002
6.905,2.82171838E-002
6.92,2.82029862E-002
6.935,2.81547408E-002
6.95,2.81235452E-002
6.965,2.80852833E-002
6.98,2.80838667E-002
6.995,2.80640379E-002
7.01,2.80428006E-002
7.025,2.80229864E-002
7.04,2.80187414E-002
7.055,2.80343080E-002
7.07,2.80555421E-002
7.085,2.80881166E-002
7.1,2.81263804E-002
7.115,2.81320513E-002
7.13,2.81689263E-002
7.145,2.81802773E-002
7.16,2.82029862E-002
7.175,2.82541145E-002
7.19,2.83351625E-002
7.205,2.83778659E-002
7.22,2.83935319E-002
7.235,2.84077775E-002
7.25,2.84491098E-002
7.265,2.84562391E-002
7.28,2.84419814E-002
7.295,2.83906832E-002
7.31,2.83579337E-002
7.325,2.83038671E-002
7.34,2.82157639E-002
7.355,2.81377228E-002
7.37,2.80654541E-002
7.385,2.79862071E-002
7.4,2.78661357E-002
7.415,2.77885800E-002
7.43,2.76464410E-002
7.445,2.75060683E-002
7.46,2.73618580E-002
7.475,2.72124486E-002
7.49,2.70982249E-002
7.505,2.70120200E-002
7.52,2.69204045E-002
7.535,2.67735901E-002
7.55,2.66754767E-002
7.565,2.66009758E-002
7.58,2.65196958E-002
7.595,2.64344168E-002
7.61,2.63684888E-002
7.625,2.63149828E-002
7.64,2.63108693E-002
7.655,2.63136116E-002
7.67,2.63136116E-002
7.685,2.62533127E-002
7.7,2.62067655E-002
7.715,2.61944511E-002
7.73,2.62190828E-002
7.745,2.62177141E-002
7.76,2.62560521E-002
7.775,2.63163541E-002
7.79,2.63451590E-002
7.805,2.63465311E-002
7.82,2.64096842E-002
7.835,2.64839169E-002
7.85,2.65651422E-002
7.865,2.66257979E-002
7.88,2.66809994E-002
7.895,2.67279657E-002
7.91,2.67722070E-002
7.925,2.68234066E-002
7.94,2.68635702E-002
7.955,2.69204045E-002
7.97,2.69953511E-002
7.985,2.71023995E-002
8,2.72654630E-002
