x/D,u/U
4.175,4.29140000E-002
4.19,4.29780000E-002
4.205,4.29920000E-002
4.22,4.30770000E-002
4.235,4.31760000E-002
4.25,4.32410000E-002
4.265,4.32590000E-002
4.28,4.32870000E-002
4.295,4.33430000E-002
4.31,4.34440000E-002
4.325,4.34370000E-002
4.34,4.33950000E-002
4.355,4.34320000E-002
4.37,4.34200000E-002
4.385,4.33510000E-002
4.4,4.32270000E-002
4.415,4.31860000E-002
4.43,4.30000000E-002
4.445,4.29500000E-002
4.46,4.28430000E-002
4.475,4.27220000E-002
4.49,4.26390000E-002
4.505,4.26330000E-002
4.52,4.26170000E-002
4.535,4.26050000E-002
4.55,4.26380000E-002
4.565,4.26500000E-002
4.58,4.25620000E-002
4.595,4.25830000E-002
4.61,4.26170000E-002
4.625,4.27580000E-002
4.64,4.28420000E-002
4.655,4.29650000E-002
4.67,4.30480000E-002
4.685,4.30240000E-002
4.7,4.31790000E-002
4.715,4.31970000E-002
4.73,4.31800000E-002
4.745,4.31460000E-002
4.76,4.31000000E-002
4.775,4.30860000E-002
4.79,4.29940000E-002
4.805,4.28710000E-002
4.82,4.27040000E-002
4.835,4.25570000E-002
4.85,4.24210000E-002
4.865,4.23470000E-002
4.88,4.22800000E-002
4.895,4.22370000E-002
4.91,4.21740000E-002
4.925,4.20510000E-002
4.94,4.19950000E-002
4.955,4.19050000E-002
4.97,4.18990000E-002
4.985,4.20170000E-002
5,4.20340000E-002
5.015,4.20260000E-002
5.03,4.20690000E-002
5.045,4.20520000E-002
5.06,4.20730000E-002
5.075,4.20980000E-002
5.09,4.20380000E-002
5.105,4.19140000E-002
5.12,4.18280000E-002
5.135,4.17420000E-002
5.15,4.15910000E-002
5.165,4.13870000E-002
5.18,4.12330000E-002
5.195,4.11510000E-002
5.21,4.11260000E-002
5.225,4.10810000E-002
5.24,4.10260000E-002
5.255,4.09130000E-002
5.27,4.08200000E-002
5.285,4.07130000E-002
5.3,4.06950000E-002
5.315,4.06790000E-002
5.33,4.07250000E-002
5.345,4.06910000E-002
5.36,4.07570000E-002
5.375,4.08320000E-002
5.39,4.09300000E-002
5.405,4.09720000E-002
5.42,4.10030000E-002
5.435,4.10180000E-002
5.45,4.11070000E-002
5.465,4.11180000E-002
5.48,4.10350000E-002
5.495,4.10210000E-002
5.51,4.09580000E-002
5.525,4.08430000E-002
5.54,4.07160000E-002
5.555,4.06070000E-002
5.57,4.04850000E-002
5.585,4.02930000E-002
5.6,4.00250000E-002
5.615,3.97760000E-002
5.63,3.95130000E-002
5.645,3.93140000E-002
5.66,3.91780000E-002
5.675,3.90710000E-002
5.69,3.90340000E-002
5.705,3.90020000E-002
5.72,3.90110000E-002
5.735,3.90310000E-002
5.75,3.89940000E-002
5.765,3.90600000E-002
5.78,3.90260000E-002
5.795,3.90530000E-002
5.81,3.90670000E-002
5.825,3.91210000E-002
5.84,3.91590000E-002
5.855,3.91540000E-002
5.87,3.91410000E-002
5.885,3.91020000E-002
5.9,3.91290000E-002
5.915,3.90720000E-002
5.93,3.89780000E-002
5.945,3.89600000E-002
5.96,3.89380000E-002
5.975,3.88800000E-002
5.99,3.88530000E-002
6.005,3.88400000E-002
6.02,3.88120000E-002
6.035,3.88410000E-002
6.05,3.88600000E-002
6.065,3.88890000E-002
6.08,3.89250000E-002
6.095,3.89800000E-002
6.11,3.90090000E-002
6.125,3.89990000E-002
6.14,3.89150000E-002
6.155,3.88640000E-002
6.17,3.88140000E-002
6.185,3.87650000E-002
6.2,3.86900000E-002
6.215,3.86350000E-002
6.23,3.85790000E-002
6.245,3.85240000E-002
6.26,3.84950000E-002
6.275,3.84320000E-002
6.29,3.83670000E-002
6.305,3.82470000E-002
6.32,3.81550000E-002
6.335,3.80150000E-002
6.35,3.78490000E-002
6.365,3.77250000E-002
6.38,3.76590000E-002
6.395,3.75950000E-002
6.41,3.75050000E-002
6.425,3.73970000E-002
6.44,3.72840000E-002
6.455,3.71930000E-002
6.47,3.70660000E-002
6.485,3.69500000E-002
6.5,3.68790000E-002
6.515,3.67900000E-002
6.53,3.67020000E-002
6.545,3.65920000E-002
6.56,3.64820000E-002
6.575,3.63320000E-002
6.59,3.62530000E-002
6.605,3.62090000E-002
6.62,3.62080000E-002
6.635,3.62410000E-002
6.65,3.63230000E-002
6.665,3.63390000E-002
6.68,3.63770000E-002
6.695,3.63880000E-002
6.71,3.63900000E-002
6.725,3.63720000E-002
6.74,3.63170000E-002
6.755,3.62730000E-002
6.77,3.62370000E-002
6.785,3.62850000E-002
6.8,3.63110000E-002
6.815,3.63460000E-002
6.83,3.63650000E-002
6.845,3.63560000E-002
6.86,3.63260000E-002
6.875,3.63350000E-002
6.89,3.62970000E-002
6.905,3.62720000E-002
6.92,3.62160000E-002
6.935,3.61520000E-002
6.95,3.61040000E-002
6.965,3.60110000E-002
6.98,3.59410000E-002
6.995,3.58610000E-002
7.01,3.58090000E-002
7.025,3.57540000E-002
7.04,3.57360000E-002
7.055,3.57380000E-002
7.07,3.57290000E-002
7.085,3.57010000E-002
7.1,3.56900000E-002
7.115,3.56440000E-002
7.13,3.55930000E-002
7.145,3.55870000E-002
7.16,3.55670000E-002
7.175,3.54910000E-002
7.19,3.54630000E-002
7.205,3.54260000E-002
7.22,3.54060000E-002
7.235,3.53430000E-002
7.25,3.52020000E-002
7.265,3.50800000E-002
7.28,3.48900000E-002
7.295,3.47680000E-002
7.31,3.46260000E-002
7.325,3.45140000E-002
7.34,3.43890000E-002
7.355,3.42730000E-002
7.37,3.42430000E-002
7.385,3.41930000E-002
7.4,3.42020000E-002
7.415,3.41860000E-002
7.43,3.41820000E-002
7.445,3.42070000E-002
7.46,3.42190000E-002
7.475,3.42340000E-002
7.49,3.42590000E-002
7.505,3.42910000E-002
7.52,3.42380000E-002
7.535,3.42000000E-002
7.55,3.41800000E-002
7.565,3.41340000E-002
7.58,3.41220000E-002
7.595,3.40320000E-002
7.61,3.39350000E-002
7.625,3.38220000E-002
7.64,3.37480000E-002
7.655,3.36720000E-002
7.67,3.35780000E-002
7.685,3.34890000E-002
7.7,3.34290000E-002
7.715,3.34060000E-002
7.73,3.33280000E-002
7.745,3.32820000E-002
7.76,3.32350000E-002
7.775,3.32420000E-002
7.79,3.32430000E-002
7.805,3.33020000E-002
7.82,3.33670000E-002
7.835,3.34700000E-002
7.85,3.35750000E-002
7.865,3.36610000E-002
7.88,3.37540000E-002
7.895,3.38370000E-002
7.91,3.38670000E-002
7.925,3.39500000E-002
7.94,3.39850000E-002
7.955,3.40630000E-002
7.97,3.41030000E-002
7.985,3.40910000E-002
8,3.41410000E-002
