tc,Dissipation
5.86,0.0058310404
5.88,0.0058636807
5.9,0.0058998508
5.92,0.0059375623
5.94,0.0059749191
5.96,0.0060109409
5.98,0.0060453378
6,0.0060779883
6.02,0.0061091819
6.04,0.0061403731
6.06,0.0061739904
6.08,0.0062121244
6.1,0.0062551458
6.12,0.0063015404
6.14,0.0063488358
6.16,0.0063944468
6.18,0.0064363422
6.2,0.0064740289
6.22,0.0065096279
6.24,0.0065472826
6.26,0.0065904858
6.28,0.0066395176
6.3,0.0066913501
6.32,0.0067419354
6.34,0.0067885574
6.36,0.0068307729
6.38,0.0068699148
6.4,0.006908219
6.42,0.0069479054
6.44,0.0069900725
6.46,0.007033734
6.48,0.0070761931
6.5,0.0071155146
6.52,0.0071522869
6.54,0.0071886695
6.56,0.007226117
6.58,0.0072641878
6.6,0.0073014459
6.62,0.0073368469
6.64,0.0073701157
6.66,0.0074014764
6.68,0.0074315793
6.7,0.0074615253
6.72,0.0074922842
6.74,0.0075237239
6.76,0.007554602
6.78,0.0075840266
6.8,0.0076127742
6.82,0.0076426839
6.84,0.0076747982
6.86,0.0077085455
6.88,0.0077427634
6.9,0.0077770541
6.92,0.0078119342
6.94,0.0078480628
6.96,0.0078858807
6.98,0.007926016
7,0.0079693396
7.02,0.0080159739
7.04,0.0080645262
7.06,0.0081130668
7.08,0.0081608965
7.1,0.0082087603
7.12,0.0082573546
7.14,0.0083063946
7.16,0.0083554006
7.18,0.0084047157
7.2,0.0084551747
7.22,0.0085069699
7.24,0.0085592837
7.26,0.0086110882
7.28,0.0086619993
7.3,0.0087121618
7.32,0.0087616532
7.34,0.0088106026
7.36,0.0088598671
7.38,0.0089108691
7.4,0.0089644443
7.42,0.0090204117
7.44,0.0090786876
7.46,0.0091403454
7.48,0.0092069578
7.5,0.0092790056
7.52,0.0093554025
7.54,0.0094346096
7.56,0.0095158889
7.58,0.0095993943
7.6,0.0096854954
7.62,0.0097746182
7.64,0.0098676139
7.66,0.0099653812
7.68,0.0100674776
7.7,0.0101714022
7.72,0.0102738798
7.74,0.0103729306
7.76,0.0104685315
7.78,0.0105615739
7.8,0.010652675
7.82,0.0107419983
7.84,0.0108296857
7.86,0.0109157924
7.88,0.010999645
7.9,0.0110797419
7.92,0.0111547808
7.94,0.0112246534
7.96,0.011290026
7.98,0.0113511906
8,0.0114079883
8.02,0.0114608718
8.04,0.0115113136
8.06,0.0115606719
8.08,0.0116089008
8.1,0.0116546846
8.12,0.0116966833
8.14,0.0117343838
8.16,0.0117678733
8.18,0.0117973224
8.2,0.0118230962
8.22,0.011846103
8.24,0.0118673135
8.26,0.0118868328
8.28,0.0119040001
8.3,0.0119187118
8.32,0.0119321869
8.34,0.0119459413
8.36,0.0119602029
8.38,0.0119736841
8.4,0.011983775
8.42,0.0119920315
8.44,0.0119968187
8.46,0.0119950459
8.48,0.011989009
8.5,0.0119793251
8.52,0.0119657562
8.54,0.0119487414
8.56,0.0119279094
8.58,0.011901783
8.6,0.0118703218
8.62,0.0118340836
8.64,0.0117942617
8.66,0.0117503814
8.68,0.0117031018
8.7,0.0116536355
8.72,0.01159945
8.74,0.0115540618
8.76,0.0115082189
8.78,0.0114561774
8.8,0.0114097878
8.82,0.0113636657
8.84,0.0113184695
8.86,0.0112738461
8.88,0.0112316022
8.9,0.011193943
8.92,0.0111609575
8.94,0.0111303429
8.96,0.0111001736
8.98,0.011070904
9,0.0110440959
9.02,0.0110199745
9.04,0.0109971235
9.06,0.0109743527
9.08,0.0109521101
9.1,0.010931555
9.12,0.0109124227
9.14,0.0108929167
9.16,0.0108719066
9.18,0.0108501999
9.2,0.0108296611
9.22,0.0108117095
9.24,0.0107965089
9.26,0.0107834799
9.28,0.0107719909
9.3,0.0107611728
9.32,0.0107503939
9.34,0.0107400868
9.36,0.0107315304
9.38,0.0107260567
9.4,0.0107239983
9.42,0.0107247969
9.44,0.0107282816
9.46,0.0107342748
9.48,0.0107417342
9.5,0.0107487654
9.52,0.0107533998
9.54,0.0107547005
9.56,0.0107543088
9.58,0.0107527792
9.6,0.0107502219
9.62,0.0107446565
9.64,0.0107452449
9.66,0.0107455136
9.68,0.0107380182
9.7,0.010730416
9.72,0.0107187409
9.74,0.0107035791
9.76,0.0106867286
9.78,0.0106696844
9.8,0.0106538693
9.82,0.0106406255
9.84,0.0106270042
9.86,0.0106198364
9.88,0.0106139087
9.9,0.0106033006
9.92,0.010595938
9.94,0.0105914383
9.96,0.0105915462
9.98,0.010592484
10,0.0106066101
10.02,0.0106263483
10.04,0.0106414035
10.06,0.0106618151
10.08,0.0106829852
10.1,0.0107040974
10.12,0.0107235584
10.14,0.0107482465
10.16,0.0107743611
10.18,0.0107969178
10.2,0.0108202364
10.22,0.0108410491
10.24,0.0108578597
10.26,0.0108698876
10.28,0.0108759377
10.3,0.0108761194
10.32,0.0108724745
10.34,0.0108660879
10.36,0.0108570744
10.38,0.0108444844
10.4,0.0108274083
10.42,0.0108051456
10.44,0.0107773129
10.46,0.0107441526
10.48,0.0107068812
10.5,0.0106677621
10.52,0.01062893
10.54,0.0105911925
10.56,0.0105537342
10.58,0.0105154148
10.6,0.0104759174
10.62,0.0104351847
10.64,0.0103935798
10.66,0.0103505567
10.68,0.0103056077
10.7,0.0102597747
10.72,0.0102136142
10.74,0.0101666372
10.76,0.0101181173
10.78,0.0100677438
10.8,0.0100156112
10.82,0.0099615285
10.84,0.0099033265
10.86,0.0098444895
10.88,0.0097842552
10.9,0.0097208038
10.92,0.0096576095
10.94,0.0095937539
10.96,0.0095288629
10.98,0.0094632886
11,0.0093976748
11.02,0.0093317062
11.04,0.0092648294
11.06,0.0091966905
11.08,0.0091280518
11.1,0.0090630796
11.12,0.0089973618
11.14,0.0089304242
11.16,0.0088639661
11.18,0.0087969002
11.2,0.0087323728
11.22,0.0086689433
11.24,0.0086065209
11.26,0.0085455054
11.28,0.008486294
11.3,0.0084281309
11.32,0.0083693967
11.34,0.008310289
11.36,0.0082524047
11.38,0.0081966805
11.4,0.0081430198
11.42,0.0080915012
11.44,0.0080414332
11.46,0.0079924632
11.48,0.0079443753
11.5,0.0078972686
11.52,0.0078501381
11.54,0.007803036
11.56,0.0077583984
11.58,0.0077164572
11.6,0.0076767267
11.62,0.0076385775
11.64,0.0075998935
11.66,0.0075660942
11.68,0.0075322879
11.7,0.0074949974
11.72,0.0074597995
11.74,0.0074257515
11.76,0.007394739
11.78,0.0073659207
11.8,0.0073383498
11.82,0.0073115426
11.84,0.007285497
11.86,0.00725919
11.88,0.0072345905
11.9,0.0072100459
11.92,0.0071848386
11.94,0.0071625738
11.96,0.007142503
11.98,0.0071219527
12,0.0071048954
12.02,0.0070874969
12.04,0.0070674719
12.06,0.0070515533
12.08,0.0070342595
12.1,0.0070155797
12.12,0.0069992758
12.14,0.006984608
12.16,0.0069698949
12.18,0.0069578577
12.2,0.0069460664
12.22,0.0069325084
12.24,0.0069204252
12.26,0.006907332
12.28,0.0068951705
12.3,0.006883155
12.32,0.0068705259
12.34,0.0068594964
12.36,0.0068490071
12.38,0.0068385418
12.4,0.0068270524
12.42,0.0068186971
12.44,0.0068094391
12.46,0.0067959492
12.48,0.0067829459
12.5,0.0067701041
12.52,0.0067581465
12.54,0.0067465519
12.56,0.006734516
12.58,0.0067216756
12.6,0.0067079607
12.62,0.0066919312
12.64,0.0066766926
12.66,0.0066600648
12.68,0.0066407817
12.7,0.0066234069
12.72,0.0066054697
12.74,0.0065888675
12.76,0.0065708987
12.78,0.006549933
12.8,0.0065295318
12.82,0.0065085759
12.84,0.0064854453
12.86,0.006464676
12.88,0.0064444779
12.9,0.0064219498
12.92,0.0063993066
12.94,0.0063780016
12.96,0.0063561876
12.98,0.0063324333
13,0.0063097862
13.02,0.0062863902
13.04,0.0062619779
13.06,0.0062371745
13.08,0.0062126722
13.1,0.0061883757
13.12,0.0061638315
13.14,0.0061391791
13.16,0.0061149507
13.18,0.0060911751
13.2,0.0060665557
13.22,0.0060410685
13.24,0.006014718
13.26,0.0059875811
13.28,0.0059609419
13.3,0.0059346635
13.32,0.0059085575
13.34,0.005882922
13.36,0.0058575537
13.38,0.0058332678
13.4,0.0058081518
13.42,0.0057809813
13.44,0.0057538737
13.46,0.0057272212
13.48,0.0057010174
13.5,0.00567512
13.52,0.0056497307
13.54,0.0056252083
13.56,0.0056015972
13.58,0.0055782254
13.6,0.0055545353
13.62,0.0055310483
13.64,0.0055080853
13.66,0.0054853278
13.68,0.0054624136
13.7,0.0054393973
13.72,0.0054168453
13.74,0.0053954402
13.76,0.0053752846
13.78,0.005354839
13.8,0.005336327
13.82,0.0053179445
13.84,0.0052977795
13.86,0.0052779138
13.88,0.0052572691
13.9,0.0052364862
13.92,0.0052164552
13.94,0.0051973961
13.96,0.0051788779
13.98,0.0051600516
14,0.0051413054
14.02,0.0051227289
14.04,0.0051040215
14.06,0.005085152
14.08,0.005065568
14.1,0.0050458473
14.12,0.0050265453
14.14,0.0050075604
14.16,0.004988086
14.18,0.0049665587
14.2,0.0049509408
14.22,0.0049339078
14.24,0.0049122175
14.26,0.0048937756
14.28,0.0048756579
14.3,0.0048571526
14.32,0.0048378983
14.34,0.0048191245
14.36,0.0047995717
14.38,0.0047796223
14.4,0.0047600881
14.42,0.0047414033
14.44,0.0047232854
14.46,0.0047049248
14.48,0.0046874376
14.5,0.0046701545
14.52,0.004651957
14.54,0.0046336808
14.56,0.0046150966
14.58,0.0045966434
14.6,0.0045792037
14.62,0.004562273
14.64,0.004544926
14.66,0.0045273424
14.68,0.0045096296
14.7,0.0044899313
14.72,0.0044791607
14.74,0.0044675412
14.76,0.0044483481
14.78,0.0044329337
14.8,0.0044173794
14.82,0.0044004035
14.84,0.0043843232
14.86,0.0043688289
14.88,0.0043532927
14.9,0.004340479
14.92,0.0043284321
14.94,0.0043160907
14.96,0.0043032689
14.98,0.0042899606
15,0.0042760025
15.02,0.0042614045
15.04,0.0042468827
15.06,0.0042335533
15.08,0.0042218216
15.1,0.0042112968
15.12,0.0042010123
15.14,0.0041895553
15.16,0.0041802207
15.18,0.0041708003
15.2,0.0041587271
15.22,0.0041468199
15.24,0.004135062
15.26,0.0041245403
15.28,0.0041153836
15.3,0.00410702
15.32,0.0040990383
15.34,0.0040917426
15.36,0.0040823392
15.38,0.0040781983
15.4,0.0040730298
15.42,0.0040615532
15.44,0.004053151
15.46,0.0040458559
15.48,0.0040394455
15.5,0.0040336129
15.52,0.0040283116
15.54,0.0040231726
15.56,0.004018558
15.58,0.0040127721
15.6,0.0040049359
15.62,0.0039969538
15.64,0.0039898227
15.66,0.0039837781
15.68,0.0039782254
15.7,0.0039710047
15.72,0.0039671613
15.74,0.0039626572
15.76,0.0039533366
15.78,0.003943525
15.8,0.0039344582
15.82,0.0039240651
15.84,0.0039177984
15.86,0.0039139428
15.88,0.0039053912
15.9,0.0038973312
15.92,0.0038885957
15.94,0.0038786393
15.96,0.0038675712
15.98,0.0038561618
16,0.0038456597
16.02,0.0038367169
16.04,0.0038287687
16.06,0.003820658
16.08,0.0038116742
16.1,0.0038020274
16.12,0.0037917897
16.14,0.0037806499
16.16,0.0037686716
16.18,0.0037566641
16.2,0.0037457151
16.22,0.0037360123
16.24,0.0037269859
16.26,0.0037180792
16.28,0.0037092064
16.3,0.0037002177
16.32,0.0036906807
16.34,0.0036797152
16.36,0.0036667957
16.38,0.0036553301
16.4,0.0036453846
16.42,0.0036357468
16.44,0.0036275742
16.46,0.0036199174
16.48,0.0036121258
16.5,0.0036035869
16.52,0.0035936493
16.54,0.0035820975
16.56,0.0035701441
16.58,0.0035593939
16.6,0.003549354
16.62,0.0035431253
16.64,0.0035372299
16.66,0.0035287709
16.68,0.003520895
16.7,0.0035123186
16.72,0.0035022501
16.74,0.0034908657
16.76,0.0034802666
16.78,0.0034713148
16.8,0.0034637336
16.82,0.0034565953
16.84,0.0034494173
16.86,0.0034420537
16.88,0.0034341152
16.9,0.0034250868
16.92,0.0034150189
16.94,0.0034049354
16.96,0.0033960696
16.98,0.0033887263
17,0.0033821208
17.02,0.0033755351
17.04,0.0033688215
17.06,0.0033619231
17.08,0.0033544247
17.1,0.0033457144
17.12,0.0033362184
17.14,0.0033274304
17.16,0.0033201708
17.18,0.0033140899
17.2,0.0033084968
17.22,0.0033030278
17.24,0.0032976358
17.26,0.0032919303
17.28,0.0032852172
17.3,0.003277385
17.32,0.0032675296
17.34,0.0032622248
17.36,0.0032581966
17.38,0.0032513609
17.4,0.003246789
17.42,0.0032426448
17.44,0.00323847
17.46,0.0032332495
17.48,0.0032263862
17.5,0.0032185075
17.52,0.0032110703
17.54,0.0032034681
17.56,0.0031976905
17.58,0.0031987549
17.6,0.0031967378
17.62,0.0031900783
17.64,0.003185376
17.66,0.0031790567
17.68,0.0031711266
17.7,0.0031631858
17.72,0.0031569222
17.74,0.0031510072
17.76,0.0031479779
17.78,0.0031453191
17.8,0.0031397483
17.82,0.0031339251
17.84,0.0031270987
17.86,0.0031194129
17.88,0.0031115953
17.9,0.003104669
17.92,0.0030989104
17.94,0.003093653
17.96,0.003088098
17.98,0.0030819675
18,0.0030753413
18.02,0.003067566
18.04,0.0030606446
18.06,0.0030527411
18.08,0.0030430475
18.1,0.0030347611
18.12,0.0030272077
18.14,0.0030200888
18.16,0.0030131645
18.18,0.0030056675
18.2,0.0029988239
18.22,0.0029911023
18.24,0.0029807753
18.26,0.0029697243
18.28,0.0029595175
18.3,0.0029504591
18.32,0.0029420462
18.34,0.0029342462
18.36,0.0029261795
18.38,0.0029164415
18.4,0.0029077387
18.42,0.0028979041
18.44,0.0028852814
18.46,0.002873775
18.48,0.0028633423
18.5,0.0028540415
18.52,0.0028450754
18.54,0.0028358034
18.56,0.0028260771
18.58,0.0028159044
18.6,0.0028049135
18.62,0.0027926261
18.64,0.0027815795
18.66,0.0027694232
18.68,0.0027590103
18.7,0.0027499782
18.72,0.0027386327
18.74,0.0027282115
18.76,0.0027175522
18.78,0.0027065956
18.8,0.0026949714
18.82,0.0026830142
18.84,0.0026712661
18.86,0.0026597707
18.88,0.0026452371
18.9,0.0026402184
18.92,0.0026335476
18.94,0.0026173064
18.96,0.0026059713
18.98,0.0025947438
19,0.0025832768
19.02,0.0025716805
19.04,0.0025604636
19.06,0.0025497455
19.08,0.0025382235
19.1,0.0025284737
19.12,0.0025182836
19.14,0.0025063815
19.16,0.0024960367
19.18,0.0024854483
19.2,0.0024741046
19.22,0.0024626932
19.24,0.0024519592
19.26,0.0024416011
19.28,0.0024312783
19.3,0.002420847
19.32,0.0024105522
19.34,0.0024005189
19.36,0.002390172
19.38,0.002379001
19.4,0.0023668965
19.42,0.0023565372
19.44,0.002347603
19.46,0.0023382099
19.48,0.0023288395
19.5,0.0023191136
19.52,0.0023092943
19.54,0.0022992707
19.56,0.0022887287
19.58,0.0022779129
19.6,0.0022676532
19.62,0.002258404
19.64,0.0022497199
19.66,0.0022406474
19.68,0.0022309364
19.7,0.0022211994
19.72,0.0022119722
19.74,0.0022028905
19.76,0.0021934261
19.78,0.0021843192
19.8,0.0021756688
19.82,0.0021668154
19.84,0.0021578984
19.86,0.0021476275
19.88,0.0021399692
19.9,0.0021329551
19.92,0.0021237976
19.94,0.0021154338
19.96,0.0021064602
19.98,0.0020974713
20,0.0020974713
